# rekordbox 7 PQTZ beatgrid for testdata/seeker-sample/01 - I Love Ya.mp3
# position_ms	bpm	beat_number
168	122.00	1
660	122.00	2
1152	122.00	3
1644	122.00	4
2135	122.00	1
2627	122.00	2
3119	122.00	3
3611	122.00	4
4103	122.00	1
4594	122.00	2
5086	122.00	3
5578	122.00	4
6070	122.00	1
6562	122.00	2
7053	122.00	3
7545	122.00	4
8037	122.00	1
8529	122.00	2
9021	122.00	3
9512	122.00	4
10004	122.00	1
10496	122.00	2
10988	122.00	3
11480	122.00	4
11971	122.00	1
12463	122.00	2
12955	122.00	3
13447	122.00	4
13939	122.00	1
14430	122.00	2
14922	122.00	3
15414	122.00	4
15906	122.00	1
16398	122.00	2
16889	122.00	3
17381	122.00	4
17873	122.00	1
18365	122.00	2
18857	122.00	3
19348	122.00	4
19840	122.00	1
20332	122.00	2
20824	122.00	3
21316	122.00	4
21807	122.00	1
22299	122.00	2
22791	122.00	3
23283	122.00	4
23775	122.00	1
24266	122.00	2
24758	122.00	3
25250	122.00	4
25742	122.00	1
26234	122.00	2
26725	122.00	3
27217	122.00	4
27709	122.00	1
28201	122.00	2
28692	122.00	3
29184	122.00	4
29676	122.00	1
30168	122.00	2
30660	122.00	3
31151	122.00	4
31643	122.00	1
32135	122.00	2
32627	122.00	3
33119	122.00	4
33610	122.00	1
34102	122.00	2
34594	122.00	3
35086	122.00	4
35578	122.00	1
36069	122.00	2
36561	122.00	3
37053	122.00	4
37545	122.00	1
38037	122.00	2
38528	122.00	3
39020	122.00	4
39512	122.00	1
40004	122.00	2
40496	122.00	3
40987	122.00	4
41479	122.00	1
41971	122.00	2
42463	122.00	3
42955	122.00	4
43446	122.00	1
43938	122.00	2
44430	122.00	3
44922	122.00	4
45414	122.00	1
45905	122.00	2
46397	122.00	3
46889	122.00	4
47381	122.00	1
47873	122.00	2
48364	122.00	3
48856	122.00	4
49348	122.00	1
49840	122.00	2
50331	122.00	3
50823	122.00	4
51315	122.00	1
51807	122.00	2
52299	122.00	3
52791	122.00	4
53282	122.00	1
53774	122.00	2
54266	122.00	3
54758	122.00	4
55249	122.00	1
55741	122.00	2
56233	122.00	3
56725	122.00	4
57217	122.00	1
57708	122.00	2
58200	122.00	3
58692	122.00	4
59184	122.00	1
59676	122.00	2
60167	122.00	3
60659	122.00	4
61151	122.00	1
61643	122.00	2
62135	122.00	3
62626	122.00	4
63118	122.00	1
63610	122.00	2
64102	122.00	3
64594	122.00	4
65085	122.00	1
65577	122.00	2
66069	122.00	3
66561	122.00	4
67053	122.00	1
67544	122.00	2
68036	122.00	3
68528	122.00	4
69020	122.00	1
69512	122.00	2
70003	122.00	3
70495	122.00	4
70987	122.00	1
71479	122.00	2
71971	122.00	3
72462	122.00	4
72954	122.00	1
73446	122.00	2
73938	122.00	3
74430	122.00	4
74921	122.00	1
75413	122.00	2
75905	122.00	3
76397	122.00	4
76888	122.00	1
77380	122.00	2
77872	122.00	3
78364	122.00	4
78856	122.00	1
79348	122.00	2
79839	122.00	3
80331	122.00	4
80823	122.00	1
81315	122.00	2
81806	122.00	3
82298	122.00	4
82790	122.00	1
83282	122.00	2
83774	122.00	3
84265	122.00	4
84757	122.00	1
85249	122.00	2
85741	122.00	3
86233	122.00	4
86724	122.00	1
87216	122.00	2
87708	122.00	3
88200	122.00	4
88692	122.00	1
89183	122.00	2
89675	122.00	3
90167	122.00	4
90659	122.00	1
91151	122.00	2
91642	122.00	3
92134	122.00	4
92626	122.00	1
93118	122.00	2
93610	122.00	3
94101	122.00	4
94593	122.00	1
95085	122.00	2
95577	122.00	3
96069	122.00	4
96560	122.00	1
97052	122.00	2
97544	122.00	3
98036	122.00	4
98528	122.00	1
99019	122.00	2
99511	122.00	3
100003	122.00	4
100495	122.00	1
100987	122.00	2
101478	122.00	3
101970	122.00	4
102462	122.00	1
102954	122.00	2
103445	122.00	3
103937	122.00	4
104429	122.00	1
104921	122.00	2
105413	122.00	3
105904	122.00	4
106396	122.00	1
106888	122.00	2
107380	122.00	3
107872	122.00	4
108363	122.00	1
108855	122.00	2
109347	122.00	3
109839	122.00	4
110331	122.00	1
110822	122.00	2
111314	122.00	3
111806	122.00	4
112298	122.00	1
112790	122.00	2
113281	122.00	3
113773	122.00	4
114265	122.00	1
114757	122.00	2
115249	122.00	3
115740	122.00	4
116232	122.00	1
116724	122.00	2
117216	122.00	3
117708	122.00	4
118199	122.00	1
118691	122.00	2
119183	122.00	3
119675	122.00	4
120167	122.00	1
120658	122.00	2
121150	122.00	3
121642	122.00	4
122134	122.00	1
122626	122.00	2
123117	122.00	3
123609	122.00	4
124101	122.00	1
124593	122.00	2
125085	122.00	3
125576	122.00	4
126068	122.00	1
126560	122.00	2
127052	122.00	3
127544	122.00	4
128035	122.00	1
128527	122.00	2
129019	122.00	3
129511	122.00	4
130002	122.00	1
130494	122.00	2
130986	122.00	3
131478	122.00	4
131970	122.00	1
132461	122.00	2
132953	122.00	3
133445	122.00	4
133937	122.00	1
134429	122.00	2
134920	122.00	3
135412	122.00	4
135904	122.00	1
136396	122.00	2
136888	122.00	3
137379	122.00	4
137871	122.00	1
138363	122.00	2
138855	122.00	3
139347	122.00	4
139838	122.00	1
140330	122.00	2
140822	122.00	3
141314	122.00	4
141806	122.00	1
142297	122.00	2
142789	122.00	3
143281	122.00	4
143773	122.00	1
144265	122.00	2
144756	122.00	3
145248	122.00	4
145740	122.00	1
146232	122.00	2
146724	122.00	3
147215	122.00	4
147707	122.00	1
148199	122.00	2
148691	122.00	3
149183	122.00	4
149674	122.00	1
150166	122.00	2
150658	122.00	3
151150	122.00	4
151641	122.00	1
152133	122.00	2
152625	122.00	3
153117	122.00	4
153609	122.00	1
154101	122.00	2
154592	122.00	3
155084	122.00	4
155576	122.00	1
156068	122.00	2
156560	122.00	3
157051	122.00	4
157543	122.00	1
158035	122.00	2
158527	122.00	3
159018	122.00	4
159510	122.00	1
160002	122.00	2
160494	122.00	3
160986	122.00	4
161478	122.00	1
161969	122.00	2
162461	122.00	3
162953	122.00	4
163445	122.00	1
163936	122.00	2
164428	122.00	3
164920	122.00	4
165412	122.00	1
165904	122.00	2
166395	122.00	3
166887	122.00	4
167379	122.00	1
167871	122.00	2
168363	122.00	3
168854	122.00	4
169346	122.00	1
169838	122.00	2
170330	122.00	3
170822	122.00	4
171313	122.00	1
171805	122.00	2
172297	122.00	3
172789	122.00	4
173281	122.00	1
173772	122.00	2
174264	122.00	3
174756	122.00	4
175248	122.00	1
175740	122.00	2
176231	122.00	3
176723	122.00	4
177215	122.00	1
177707	122.00	2
178199	122.00	3
178690	122.00	4
179182	122.00	1
179674	122.00	2
180166	122.00	3
180658	122.00	4
181149	122.00	1
181641	122.00	2
182133	122.00	3
182625	122.00	4
183117	122.00	1
183608	122.00	2
184100	122.00	3
184592	122.00	4
185084	122.00	1
185575	122.00	2
186067	122.00	3
186559	122.00	4
187051	122.00	1
187543	122.00	2
188034	122.00	3
188526	122.00	4
189018	122.00	1
189510	122.00	2
190002	122.00	3
190493	122.00	4
190985	122.00	1
191477	122.00	2
191969	122.00	3
192461	122.00	4
192952	122.00	1
193444	122.00	2
193936	122.00	3
194428	122.00	4
194920	122.00	1
195411	122.00	2
195903	122.00	3
196395	122.00	4
196887	122.00	1
