# rekordbox 7 PQTZ beatgrid for testdata/seeker-sample/01 - Sentient.mp3
# position_ms	bpm	beat_number
181	130.00	1
642	130.00	2
1104	130.00	3
1565	130.00	4
2027	130.00	1
2488	130.00	2
2950	130.00	3
3411	130.00	4
3873	130.00	1
4335	130.00	2
4796	130.00	3
5258	130.00	4
5719	130.00	1
6181	130.00	2
6642	130.00	3
7104	130.00	4
7565	130.00	1
8027	130.00	2
8488	130.00	3
8950	130.00	4
9411	130.00	1
9873	130.00	2
10335	130.00	3
10796	130.00	4
11258	130.00	1
11719	130.00	2
12181	130.00	3
12642	130.00	4
13104	130.00	1
13565	130.00	2
14027	130.00	3
14488	130.00	4
14950	130.00	1
15411	130.00	2
15873	130.00	3
16335	130.00	4
16796	130.00	1
17258	130.00	2
17719	130.00	3
18181	130.00	4
18642	130.00	1
19104	130.00	2
19565	130.00	3
20027	130.00	4
20488	130.00	1
20950	130.00	2
21411	130.00	3
21873	130.00	4
22335	130.00	1
22796	130.00	2
23258	130.00	3
23719	130.00	4
24181	130.00	1
24642	130.00	2
25104	130.00	3
25565	130.00	4
26027	130.00	1
26488	130.00	2
26950	130.00	3
27411	130.00	4
27873	130.00	1
28335	130.00	2
28796	130.00	3
29258	130.00	4
29719	130.00	1
30181	130.00	2
30642	130.00	3
31104	130.00	4
31565	130.00	1
32027	130.00	2
32488	130.00	3
32950	130.00	4
33411	130.00	1
33873	130.00	2
34335	130.00	3
34796	130.00	4
35258	130.00	1
35719	130.00	2
36181	130.00	3
36642	130.00	4
37104	130.00	1
37565	130.00	2
38027	130.00	3
38488	130.00	4
38950	130.00	1
39411	130.00	2
39873	130.00	3
40335	130.00	4
40796	130.00	1
41258	130.00	2
41719	130.00	3
42181	130.00	4
42642	130.00	1
43104	130.00	2
43565	130.00	3
44027	130.00	4
44488	130.00	1
44950	130.00	2
45411	130.00	3
45873	130.00	4
46335	130.00	1
46796	130.00	2
47258	130.00	3
47719	130.00	4
48181	130.00	1
48642	130.00	2
49104	130.00	3
49565	130.00	4
50027	130.00	1
50488	130.00	2
50950	130.00	3
51411	130.00	4
51873	130.00	1
52335	130.00	2
52796	130.00	3
53258	130.00	4
53719	130.00	1
54181	130.00	2
54642	130.00	3
55104	130.00	4
55565	130.00	1
56027	130.00	2
56488	130.00	3
56950	130.00	4
57411	130.00	1
57873	130.00	2
58335	130.00	3
58796	130.00	4
59258	130.00	1
59719	130.00	2
60181	130.00	3
60642	130.00	4
61104	130.00	1
61565	130.00	2
62027	130.00	3
62488	130.00	4
62950	130.00	1
63411	130.00	2
63873	130.00	3
64335	130.00	4
64796	130.00	1
65258	130.00	2
65719	130.00	3
66181	130.00	4
66642	130.00	1
67104	130.00	2
67565	130.00	3
68027	130.00	4
68488	130.00	1
68950	130.00	2
69411	130.00	3
69873	130.00	4
70335	130.00	1
70796	130.00	2
71258	130.00	3
71719	130.00	4
72181	130.00	1
72642	130.00	2
73104	130.00	3
73565	130.00	4
74027	130.00	1
74488	130.00	2
74950	130.00	3
75411	130.00	4
75873	130.00	1
76335	130.00	2
76796	130.00	3
77258	130.00	4
77719	130.00	1
78181	130.00	2
78642	130.00	3
79104	130.00	4
79565	130.00	1
80027	130.00	2
80488	130.00	3
80950	130.00	4
81411	130.00	1
81873	130.00	2
82335	130.00	3
82796	130.00	4
83258	130.00	1
83719	130.00	2
84181	130.00	3
84642	130.00	4
85104	130.00	1
85565	130.00	2
86027	130.00	3
86488	130.00	4
86950	130.00	1
87411	130.00	2
87873	130.00	3
88335	130.00	4
88796	130.00	1
89258	130.00	2
89719	130.00	3
90181	130.00	4
90642	130.00	1
91104	130.00	2
91565	130.00	3
92027	130.00	4
92488	130.00	1
92950	130.00	2
93411	130.00	3
93873	130.00	4
94335	130.00	1
94796	130.00	2
95258	130.00	3
95719	130.00	4
96181	130.00	1
96642	130.00	2
97104	130.00	3
97565	130.00	4
98027	130.00	1
98488	130.00	2
98950	130.00	3
99411	130.00	4
99873	130.00	1
100335	130.00	2
100796	130.00	3
101258	130.00	4
101719	130.00	1
102181	130.00	2
102642	130.00	3
103104	130.00	4
103565	130.00	1
104027	130.00	2
104488	130.00	3
104950	130.00	4
105411	130.00	1
105873	130.00	2
106335	130.00	3
106796	130.00	4
107258	130.00	1
107719	130.00	2
108181	130.00	3
108642	130.00	4
109104	130.00	1
109565	130.00	2
110027	130.00	3
110488	130.00	4
110950	130.00	1
111411	130.00	2
