# rekordbox 7 PQTZ beatgrid for testdata/seeker-sample/02-klint-horus_and_seth_(original_mix).mp3
# position_ms	bpm	beat_number
55	143.00	1
474	143.00	2
894	143.00	3
1313	143.00	4
1733	143.00	1
2152	143.00	2
2572	143.00	3
2992	143.00	4
3411	143.00	1
3831	143.00	2
4250	143.00	3
4670	143.00	4
5090	143.00	1
5509	143.00	2
5929	143.00	3
6348	143.00	4
6768	143.00	1
7187	143.00	2
7607	143.00	3
8027	143.00	4
8446	143.00	1
8866	143.00	2
9285	143.00	3
9705	143.00	4
10125	143.00	1
10544	143.00	2
10964	143.00	3
11383	143.00	4
11803	143.00	1
12222	143.00	2
12642	143.00	3
13062	143.00	4
13481	143.00	1
13901	143.00	2
14320	143.00	3
14740	143.00	4
15160	143.00	1
15579	143.00	2
15999	143.00	3
16418	143.00	4
16838	143.00	1
17257	143.00	2
17677	143.00	3
18097	143.00	4
18516	143.00	1
18936	143.00	2
19355	143.00	3
19775	143.00	4
20195	143.00	1
20614	143.00	2
21034	143.00	3
21453	143.00	4
21873	143.00	1
22292	143.00	2
22712	143.00	3
23132	143.00	4
23551	143.00	1
23971	143.00	2
24390	143.00	3
24810	143.00	4
25229	143.00	1
25649	143.00	2
26069	143.00	3
26488	143.00	4
26908	143.00	1
27327	143.00	2
27747	143.00	3
28167	143.00	4
28586	143.00	1
29006	143.00	2
29425	143.00	3
29845	143.00	4
30264	143.00	1
30684	143.00	2
31104	143.00	3
31523	143.00	4
31943	143.00	1
32362	143.00	2
32782	143.00	3
33202	143.00	4
33621	143.00	1
34041	143.00	2
34460	143.00	3
34880	143.00	4
35299	143.00	1
35719	143.00	2
36139	143.00	3
36558	143.00	4
36978	143.00	1
37397	143.00	2
37817	143.00	3
38237	143.00	4
38656	143.00	1
39076	143.00	2
39495	143.00	3
39915	143.00	4
40334	143.00	1
40754	143.00	2
41174	143.00	3
41593	143.00	4
42013	143.00	1
42432	143.00	2
42852	143.00	3
43271	143.00	4
43691	143.00	1
44111	143.00	2
44530	143.00	3
44950	143.00	4
45369	143.00	1
45789	143.00	2
46209	143.00	3
46628	143.00	4
47048	143.00	1
47467	143.00	2
47887	143.00	3
48306	143.00	4
48726	143.00	1
49146	143.00	2
49565	143.00	3
49985	143.00	4
50404	143.00	1
50824	143.00	2
51244	143.00	3
51663	143.00	4
52083	143.00	1
52502	143.00	2
52922	143.00	3
53341	143.00	4
53761	143.00	1
54181	143.00	2
54600	143.00	3
55020	143.00	4
55439	143.00	1
55859	143.00	2
56279	143.00	3
56698	143.00	4
57118	143.00	1
57537	143.00	2
57957	143.00	3
58376	143.00	4
58796	143.00	1
59216	143.00	2
59635	143.00	3
60055	143.00	4
60474	143.00	1
60894	143.00	2
61314	143.00	3
61733	143.00	4
62153	143.00	1
62572	143.00	2
62992	143.00	3
63411	143.00	4
63831	143.00	1
64251	143.00	2
64670	143.00	3
65090	143.00	4
65509	143.00	1
65929	143.00	2
66348	143.00	3
66768	143.00	4
67188	143.00	1
67607	143.00	2
68027	143.00	3
68446	143.00	4
68866	143.00	1
69286	143.00	2
69705	143.00	3
70125	143.00	4
70544	143.00	1
70964	143.00	2
71383	143.00	3
71803	143.00	4
72223	143.00	1
72642	143.00	2
73062	143.00	3
73481	143.00	4
73901	143.00	1
74321	143.00	2
74740	143.00	3
75160	143.00	4
75579	143.00	1
75999	143.00	2
76418	143.00	3
76838	143.00	4
77258	143.00	1
77677	143.00	2
78097	143.00	3
78516	143.00	4
78936	143.00	1
79356	143.00	2
79775	143.00	3
80195	143.00	4
80614	143.00	1
81034	143.00	2
81453	143.00	3
81873	143.00	4
82293	143.00	1
82712	143.00	2
83132	143.00	3
83551	143.00	4
83971	143.00	1
84391	143.00	2
84810	143.00	3
85230	143.00	4
85649	143.00	1
86069	143.00	2
86488	143.00	3
86908	143.00	4
87328	143.00	1
87747	143.00	2
88167	143.00	3
88586	143.00	4
89006	143.00	1
89425	143.00	2
89845	143.00	3
90265	143.00	4
90684	143.00	1
91104	143.00	2
91523	143.00	3
91943	143.00	4
92363	143.00	1
92782	143.00	2
93202	143.00	3
93621	143.00	4
94041	143.00	1
94460	143.00	2
94880	143.00	3
95300	143.00	4
95719	143.00	1
96139	143.00	2
96558	143.00	3
96978	143.00	4
97398	143.00	1
97817	143.00	2
98237	143.00	3
98656	143.00	4
99076	143.00	1
99496	143.00	2
99915	143.00	3
100335	143.00	4
100754	143.00	1
101174	143.00	2
101593	143.00	3
102013	143.00	4
102433	143.00	1
102852	143.00	2
103272	143.00	3
103691	143.00	4
104111	143.00	1
104530	143.00	2
104950	143.00	3
105370	143.00	4
105789	143.00	1
106209	143.00	2
106628	143.00	3
107048	143.00	4
107467	143.00	1
107887	143.00	2
108307	143.00	3
108726	143.00	4
109146	143.00	1
109565	143.00	2
109985	143.00	3
110405	143.00	4
110824	143.00	1
111244	143.00	2
111663	143.00	3
112083	143.00	4
112502	143.00	1
112922	143.00	2
113342	143.00	3
113761	143.00	4
114181	143.00	1
114600	143.00	2
115020	143.00	3
115440	143.00	4
115859	143.00	1
116279	143.00	2
116698	143.00	3
117118	143.00	4
117537	143.00	1
117957	143.00	2
118377	143.00	3
118796	143.00	4
119216	143.00	1
119635	143.00	2
120055	143.00	3
120475	143.00	4
120894	143.00	1
121314	143.00	2
121733	143.00	3
122153	143.00	4
122572	143.00	1
122992	143.00	2
123412	143.00	3
123831	143.00	4
124251	143.00	1
124670	143.00	2
125090	143.00	3
125510	143.00	4
125929	143.00	1
126349	143.00	2
126768	143.00	3
127188	143.00	4
127607	143.00	1
128027	143.00	2
128447	143.00	3
128866	143.00	4
129286	143.00	1
129705	143.00	2
130125	143.00	3
130544	143.00	4
130964	143.00	1
131384	143.00	2
131803	143.00	3
132223	143.00	4
132642	143.00	1
133062	143.00	2
133482	143.00	3
133901	143.00	4
134321	143.00	1
134740	143.00	2
135160	143.00	3
135579	143.00	4
135999	143.00	1
136419	143.00	2
136838	143.00	3
137258	143.00	4
137677	143.00	1
138097	143.00	2
138517	143.00	3
138936	143.00	4
139356	143.00	1
139775	143.00	2
140195	143.00	3
140615	143.00	4
141034	143.00	1
141454	143.00	2
141873	143.00	3
142293	143.00	4
142712	143.00	1
143132	143.00	2
143552	143.00	3
143971	143.00	4
144391	143.00	1
144810	143.00	2
145230	143.00	3
145649	143.00	4
146069	143.00	1
146489	143.00	2
146908	143.00	3
147328	143.00	4
147747	143.00	1
148167	143.00	2
148586	143.00	3
149006	143.00	4
149426	143.00	1
149845	143.00	2
150265	143.00	3
150684	143.00	4
151104	143.00	1
151524	143.00	2
151943	143.00	3
152363	143.00	4
152782	143.00	1
153202	143.00	2
153621	143.00	3
154041	143.00	4
154461	143.00	1
154880	143.00	2
155300	143.00	3
155719	143.00	4
156139	143.00	1
156559	143.00	2
156978	143.00	3
157398	143.00	4
157817	143.00	1
158237	143.00	2
158657	143.00	3
159076	143.00	4
159496	143.00	1
159915	143.00	2
160335	143.00	3
160754	143.00	4
161174	143.00	1
161594	143.00	2
162013	143.00	3
162433	143.00	4
162852	143.00	1
163272	143.00	2
163691	143.00	3
164111	143.00	4
164531	143.00	1
164950	143.00	2
165370	143.00	3
165789	143.00	4
166209	143.00	1
166629	143.00	2
167048	143.00	3
167468	143.00	4
167887	143.00	1
168307	143.00	2
168726	143.00	3
169146	143.00	4
169566	143.00	1
169985	143.00	2
170405	143.00	3
170824	143.00	4
171244	143.00	1
171663	143.00	2
172083	143.00	3
172503	143.00	4
172922	143.00	1
173342	143.00	2
173761	143.00	3
174181	143.00	4
174601	143.00	1
175020	143.00	2
175440	143.00	3
175859	143.00	4
176279	143.00	1
176698	143.00	2
177118	143.00	3
177538	143.00	4
177957	143.00	1
178377	143.00	2
178796	143.00	3
179216	143.00	4
179636	143.00	1
180055	143.00	2
180475	143.00	3
180894	143.00	4
181314	143.00	1
181734	143.00	2
182153	143.00	3
182573	143.00	4
182992	143.00	1
183412	143.00	2
183831	143.00	3
184251	143.00	4
184671	143.00	1
185090	143.00	2
185510	143.00	3
185929	143.00	4
186349	143.00	1
186768	143.00	2
187188	143.00	3
187608	143.00	4
188027	143.00	1
188447	143.00	2
188866	143.00	3
189286	143.00	4
189706	143.00	1
190125	143.00	2
190545	143.00	3
190964	143.00	4
191384	143.00	1
191803	143.00	2
192223	143.00	3
192643	143.00	4
193062	143.00	1
193482	143.00	2
193901	143.00	3
194321	143.00	4
194740	143.00	1
195160	143.00	2
195580	143.00	3
195999	143.00	4
196419	143.00	1
196838	143.00	2
197258	143.00	3
197678	143.00	4
198097	143.00	1
198517	143.00	2
198936	143.00	3
199356	143.00	4
199776	143.00	1
200195	143.00	2
200615	143.00	3
201034	143.00	4
201454	143.00	1
201873	143.00	2
202293	143.00	3
202713	143.00	4
203132	143.00	1
203552	143.00	2
203971	143.00	3
204391	143.00	4
204811	143.00	1
205230	143.00	2
205650	143.00	3
206069	143.00	4
206489	143.00	1
206908	143.00	2
207328	143.00	3
207748	143.00	4
208167	143.00	1
208587	143.00	2
209006	143.00	3
209426	143.00	4
209845	143.00	1
210265	143.00	2
210685	143.00	3
211104	143.00	4
211524	143.00	1
211943	143.00	2
212363	143.00	3
212782	143.00	4
213202	143.00	1
213622	143.00	2
214041	143.00	3
214461	143.00	4
214880	143.00	1
215300	143.00	2
215720	143.00	3
216139	143.00	4
216559	143.00	1
216978	143.00	2
217398	143.00	3
217817	143.00	4
218237	143.00	1
218657	143.00	2
219076	143.00	3
219496	143.00	4
219915	143.00	1
220335	143.00	2
220755	143.00	3
221174	143.00	4
221594	143.00	1
222013	143.00	2
222433	143.00	3
222853	143.00	4
223272	143.00	1
223692	143.00	2
224111	143.00	3
224531	143.00	4
224950	143.00	1
225370	143.00	2
225790	143.00	3
226209	143.00	4
226629	143.00	1
227048	143.00	2
227468	143.00	3
227887	143.00	4
228307	143.00	1
228727	143.00	2
229146	143.00	3
229566	143.00	4
229985	143.00	1
230405	143.00	2
230825	143.00	3
231244	143.00	4
231664	143.00	1
232083	143.00	2
232503	143.00	3
232922	143.00	4
233342	143.00	1
233762	143.00	2
234181	143.00	3
234601	143.00	4
235020	143.00	1
235440	143.00	2
235859	143.00	3
236279	143.00	4
236699	143.00	1
237118	143.00	2
237538	143.00	3
237957	143.00	4
238377	143.00	1
238797	143.00	2
239216	143.00	3
239636	143.00	4
240055	143.00	1
240475	143.00	2
240895	143.00	3
241314	143.00	4
241734	143.00	1
242153	143.00	2
242573	143.00	3
242992	143.00	4
243412	143.00	1
243832	143.00	2
244251	143.00	3
244671	143.00	4
245090	143.00	1
245510	143.00	2
245930	143.00	3
246349	143.00	4
246769	143.00	1
247188	143.00	2
247608	143.00	3
248027	143.00	4
248447	143.00	1
248867	143.00	2
249286	143.00	3
249706	143.00	4
250125	143.00	1
250545	143.00	2
250964	143.00	3
251384	143.00	4
251804	143.00	1
252223	143.00	2
252643	143.00	3
253062	143.00	4
253482	143.00	1
253902	143.00	2
254321	143.00	3
254741	143.00	4
255160	143.00	1
255580	143.00	2
255999	143.00	3
256419	143.00	4
256839	143.00	1
257258	143.00	2
257678	143.00	3
258097	143.00	4
258517	143.00	1
258937	143.00	2
259356	143.00	3
259776	143.00	4
260195	143.00	1
260615	143.00	2
261034	143.00	3
261454	143.00	4
261874	143.00	1
262293	143.00	2
262713	143.00	3
263132	143.00	4
263552	143.00	1
263972	143.00	2
264391	143.00	3
264811	143.00	4
