# rekordbox 7 PQTZ beatgrid for testdata/seeker-sample/04 - Reptilian.mp3
# position_ms	bpm	beat_number
177	130.00	1
638	130.00	2
1100	130.00	3
1561	130.00	4
2023	130.00	1
2485	130.00	2
2946	130.00	3
3408	130.00	4
3869	130.00	1
4331	130.00	2
4792	130.00	3
5254	130.00	4
5715	130.00	1
6177	130.00	2
6638	130.00	3
7100	130.00	4
7561	130.00	1
8023	130.00	2
8485	130.00	3
8946	130.00	4
9408	130.00	1
9869	130.00	2
10331	130.00	3
10792	130.00	4
11254	130.00	1
11715	130.00	2
12177	130.00	3
12638	130.00	4
13100	130.00	1
13561	130.00	2
14023	130.00	3
14485	130.00	4
14946	130.00	1
15408	130.00	2
15869	130.00	3
16331	130.00	4
16792	130.00	1
17254	130.00	2
17715	130.00	3
18177	130.00	4
18638	130.00	1
19100	130.00	2
19561	130.00	3
20023	130.00	4
20485	130.00	1
20946	130.00	2
21408	130.00	3
21869	130.00	4
22331	130.00	1
22792	130.00	2
23254	130.00	3
23715	130.00	4
24177	130.00	1
24638	130.00	2
25100	130.00	3
25561	130.00	4
26023	130.00	1
26485	130.00	2
26946	130.00	3
27408	130.00	4
27869	130.00	1
28331	130.00	2
28792	130.00	3
29254	130.00	4
29715	130.00	1
30177	130.00	2
30638	130.00	3
31100	130.00	4
31561	130.00	1
32023	130.00	2
32485	130.00	3
32946	130.00	4
33408	130.00	1
33869	130.00	2
34331	130.00	3
34792	130.00	4
35254	130.00	1
35715	130.00	2
36177	130.00	3
36638	130.00	4
37100	130.00	1
37561	130.00	2
38023	130.00	3
38485	130.00	4
38946	130.00	1
39408	130.00	2
39869	130.00	3
40331	130.00	4
40792	130.00	1
41254	130.00	2
41715	130.00	3
42177	130.00	4
42638	130.00	1
43100	130.00	2
43561	130.00	3
44023	130.00	4
44485	130.00	1
44946	130.00	2
45408	130.00	3
45869	130.00	4
46331	130.00	1
46792	130.00	2
47254	130.00	3
47715	130.00	4
48177	130.00	1
48638	130.00	2
49100	130.00	3
49561	130.00	4
50023	130.00	1
50485	130.00	2
50946	130.00	3
51408	130.00	4
51869	130.00	1
52331	130.00	2
52792	130.00	3
53254	130.00	4
53715	130.00	1
54177	130.00	2
54638	130.00	3
55100	130.00	4
55561	130.00	1
56023	130.00	2
56485	130.00	3
56946	130.00	4
57408	130.00	1
57869	130.00	2
58331	130.00	3
58792	130.00	4
59254	130.00	1
59715	130.00	2
60177	130.00	3
60638	130.00	4
61100	130.00	1
61561	130.00	2
62023	130.00	3
62485	130.00	4
62946	130.00	1
63408	130.00	2
63869	130.00	3
64331	130.00	4
64792	130.00	1
65254	130.00	2
65715	130.00	3
66177	130.00	4
66638	130.00	1
67100	130.00	2
67561	130.00	3
68023	130.00	4
68485	130.00	1
68946	130.00	2
69408	130.00	3
69869	130.00	4
70331	130.00	1
70792	130.00	2
71254	130.00	3
71715	130.00	4
72177	130.00	1
72638	130.00	2
73100	130.00	3
73561	130.00	4
74023	130.00	1
74485	130.00	2
74946	130.00	3
75408	130.00	4
75869	130.00	1
76331	130.00	2
76792	130.00	3
77254	130.00	4
77715	130.00	1
78177	130.00	2
78638	130.00	3
79100	130.00	4
79561	130.00	1
80023	130.00	2
80485	130.00	3
80946	130.00	4
81408	130.00	1
81869	130.00	2
82331	130.00	3
82792	130.00	4
83254	130.00	1
83715	130.00	2
84177	130.00	3
84638	130.00	4
85100	130.00	1
85561	130.00	2
86023	130.00	3
86485	130.00	4
86946	130.00	1
87408	130.00	2
87869	130.00	3
88331	130.00	4
88792	130.00	1
89254	130.00	2
89715	130.00	3
90177	130.00	4
90638	130.00	1
91100	130.00	2
91561	130.00	3
92023	130.00	4
92485	130.00	1
92946	130.00	2
93408	130.00	3
93869	130.00	4
94331	130.00	1
94792	130.00	2
95254	130.00	3
95715	130.00	4
96177	130.00	1
96638	130.00	2
97100	130.00	3
