# rekordbox 7 PQTZ beatgrid for testdata/seeker-sample/04-bidoben-unfair.mp3
# position_ms	bpm	beat_number
51	140.00	1
479	140.00	2
908	140.00	3
1337	140.00	4
1765	140.00	1
2194	140.00	2
2622	140.00	3
3051	140.00	4
3479	140.00	1
3908	140.00	2
4337	140.00	3
4765	140.00	4
5194	140.00	1
5622	140.00	2
6051	140.00	3
6479	140.00	4
6908	140.00	1
7337	140.00	2
7765	140.00	3
8194	140.00	4
8622	140.00	1
9051	140.00	2
9479	140.00	3
9908	140.00	4
10337	140.00	1
10765	140.00	2
11194	140.00	3
11622	140.00	4
12051	140.00	1
12479	140.00	2
12908	140.00	3
13337	140.00	4
13765	140.00	1
14194	140.00	2
14622	140.00	3
15051	140.00	4
15479	140.00	1
15908	140.00	2
16337	140.00	3
16765	140.00	4
17194	140.00	1
17622	140.00	2
18051	140.00	3
18479	140.00	4
18908	140.00	1
19337	140.00	2
19765	140.00	3
20194	140.00	4
20622	140.00	1
21051	140.00	2
21479	140.00	3
21908	140.00	4
22337	140.00	1
22765	140.00	2
23194	140.00	3
23622	140.00	4
24051	140.00	1
24479	140.00	2
24908	140.00	3
25337	140.00	4
25765	140.00	1
26194	140.00	2
26622	140.00	3
27051	140.00	4
27479	140.00	1
27908	140.00	2
28337	140.00	3
28765	140.00	4
29194	140.00	1
29622	140.00	2
30051	140.00	3
30479	140.00	4
30908	140.00	1
31337	140.00	2
31765	140.00	3
32194	140.00	4
32622	140.00	1
33051	140.00	2
33479	140.00	3
33908	140.00	4
34337	140.00	1
34765	140.00	2
35194	140.00	3
35622	140.00	4
36051	140.00	1
36479	140.00	2
36908	140.00	3
37337	140.00	4
37765	140.00	1
38194	140.00	2
38622	140.00	3
39051	140.00	4
39479	140.00	1
39908	140.00	2
40337	140.00	3
40765	140.00	4
41194	140.00	1
41622	140.00	2
42051	140.00	3
42479	140.00	4
42908	140.00	1
43337	140.00	2
43765	140.00	3
44194	140.00	4
44622	140.00	1
45051	140.00	2
45479	140.00	3
45908	140.00	4
46337	140.00	1
46765	140.00	2
47194	140.00	3
47622	140.00	4
48051	140.00	1
48479	140.00	2
48908	140.00	3
49337	140.00	4
49765	140.00	1
50194	140.00	2
50622	140.00	3
51051	140.00	4
51479	140.00	1
51908	140.00	2
52337	140.00	3
52765	140.00	4
53194	140.00	1
53622	140.00	2
54051	140.00	3
54479	140.00	4
54908	140.00	1
55337	140.00	2
55765	140.00	3
56194	140.00	4
56622	140.00	1
57051	140.00	2
57479	140.00	3
57908	140.00	4
58337	140.00	1
58765	140.00	2
59194	140.00	3
59622	140.00	4
60051	140.00	1
60479	140.00	2
60908	140.00	3
61337	140.00	4
61765	140.00	1
62194	140.00	2
62622	140.00	3
63051	140.00	4
63479	140.00	1
63908	140.00	2
64337	140.00	3
64765	140.00	4
65194	140.00	1
65622	140.00	2
66051	140.00	3
66479	140.00	4
66908	140.00	1
67337	140.00	2
67765	140.00	3
68194	140.00	4
68622	140.00	1
69051	140.00	2
69479	140.00	3
69908	140.00	4
70337	140.00	1
70765	140.00	2
71194	140.00	3
71622	140.00	4
72051	140.00	1
72479	140.00	2
72908	140.00	3
73337	140.00	4
73765	140.00	1
74194	140.00	2
74622	140.00	3
75051	140.00	4
75479	140.00	1
75908	140.00	2
76337	140.00	3
76765	140.00	4
77194	140.00	1
77622	140.00	2
78051	140.00	3
78479	140.00	4
78908	140.00	1
79337	140.00	2
79765	140.00	3
80194	140.00	4
80622	140.00	1
81051	140.00	2
81479	140.00	3
81908	140.00	4
82337	140.00	1
82765	140.00	2
83194	140.00	3
83622	140.00	4
84051	140.00	1
84479	140.00	2
84908	140.00	3
85337	140.00	4
85765	140.00	1
86194	140.00	2
86622	140.00	3
87051	140.00	4
87479	140.00	1
87908	140.00	2
88337	140.00	3
88765	140.00	4
89194	140.00	1
89622	140.00	2
90051	140.00	3
90479	140.00	4
90908	140.00	1
91337	140.00	2
91765	140.00	3
92194	140.00	4
92622	140.00	1
93051	140.00	2
93479	140.00	3
93908	140.00	4
94337	140.00	1
94765	140.00	2
95194	140.00	3
95622	140.00	4
96051	140.00	1
96479	140.00	2
96908	140.00	3
97337	140.00	4
97765	140.00	1
98194	140.00	2
98622	140.00	3
99051	140.00	4
99479	140.00	1
99908	140.00	2
100337	140.00	3
100765	140.00	4
101194	140.00	1
101622	140.00	2
102051	140.00	3
102479	140.00	4
102908	140.00	1
103337	140.00	2
103765	140.00	3
104194	140.00	4
104622	140.00	1
105051	140.00	2
105479	140.00	3
105908	140.00	4
106337	140.00	1
106765	140.00	2
107194	140.00	3
107622	140.00	4
108051	140.00	1
108479	140.00	2
108908	140.00	3
109337	140.00	4
109765	140.00	1
110194	140.00	2
110622	140.00	3
111051	140.00	4
111479	140.00	1
111908	140.00	2
112337	140.00	3
112765	140.00	4
113194	140.00	1
113622	140.00	2
114051	140.00	3
114479	140.00	4
114908	140.00	1
115337	140.00	2
115765	140.00	3
116194	140.00	4
116622	140.00	1
117051	140.00	2
117479	140.00	3
117908	140.00	4
118337	140.00	1
118765	140.00	2
119194	140.00	3
119622	140.00	4
120051	140.00	1
120479	140.00	2
120908	140.00	3
121337	140.00	4
121765	140.00	1
122194	140.00	2
122622	140.00	3
123051	140.00	4
123479	140.00	1
123908	140.00	2
124337	140.00	3
124765	140.00	4
125194	140.00	1
125622	140.00	2
126051	140.00	3
126479	140.00	4
126908	140.00	1
127337	140.00	2
127765	140.00	3
128194	140.00	4
128622	140.00	1
129051	140.00	2
129479	140.00	3
129908	140.00	4
130337	140.00	1
130765	140.00	2
131194	140.00	3
131622	140.00	4
132051	140.00	1
132479	140.00	2
132908	140.00	3
133337	140.00	4
133765	140.00	1
134194	140.00	2
134622	140.00	3
135051	140.00	4
135479	140.00	1
135908	140.00	2
136337	140.00	3
136765	140.00	4
137194	140.00	1
137622	140.00	2
138051	140.00	3
138479	140.00	4
138908	140.00	1
139337	140.00	2
139765	140.00	3
140194	140.00	4
140622	140.00	1
141051	140.00	2
141479	140.00	3
141908	140.00	4
142337	140.00	1
142765	140.00	2
143194	140.00	3
143622	140.00	4
144051	140.00	1
144479	140.00	2
