# rekordbox 7 PQTZ beatgrid for testdata/seeker-sample/04-rene_wise-cutting_thick.mp3
# position_ms	bpm	beat_number
263	133.00	1
714	133.00	2
1165	133.00	3
1616	133.00	4
2067	133.00	1
2518	133.00	2
2969	133.00	3
3420	133.00	4
3872	133.00	1
4323	133.00	2
4774	133.00	3
5225	133.00	4
5676	133.00	1
6127	133.00	2
6578	133.00	3
7029	133.00	4
7481	133.00	1
7932	133.00	2
8383	133.00	3
8834	133.00	4
9285	133.00	1
9736	133.00	2
10187	133.00	3
10639	133.00	4
11090	133.00	1
11541	133.00	2
11992	133.00	3
12443	133.00	4
12894	133.00	1
13345	133.00	2
13796	133.00	3
14248	133.00	4
14699	133.00	1
15150	133.00	2
15601	133.00	3
16052	133.00	4
16503	133.00	1
16954	133.00	2
17405	133.00	3
17857	133.00	4
18308	133.00	1
18759	133.00	2
19210	133.00	3
19661	133.00	4
20112	133.00	1
20563	133.00	2
21014	133.00	3
21466	133.00	4
21917	133.00	1
22368	133.00	2
22819	133.00	3
23270	133.00	4
23721	133.00	1
24172	133.00	2
24623	133.00	3
25075	133.00	4
25526	133.00	1
25977	133.00	2
26428	133.00	3
26879	133.00	4
27330	133.00	1
27781	133.00	2
28232	133.00	3
28684	133.00	4
29135	133.00	1
29586	133.00	2
30037	133.00	3
30488	133.00	4
30939	133.00	1
31390	133.00	2
31841	133.00	3
32293	133.00	4
32744	133.00	1
33195	133.00	2
33646	133.00	3
34097	133.00	4
34548	133.00	1
34999	133.00	2
35451	133.00	3
35902	133.00	4
36353	133.00	1
36804	133.00	2
37255	133.00	3
37706	133.00	4
38157	133.00	1
38608	133.00	2
39060	133.00	3
39511	133.00	4
39962	133.00	1
40413	133.00	2
40864	133.00	3
41315	133.00	4
41766	133.00	1
42217	133.00	2
42669	133.00	3
43120	133.00	4
43571	133.00	1
44022	133.00	2
44473	133.00	3
44924	133.00	4
45375	133.00	1
45826	133.00	2
46278	133.00	3
46729	133.00	4
47180	133.00	1
47631	133.00	2
48082	133.00	3
48533	133.00	4
48984	133.00	1
49435	133.00	2
49887	133.00	3
50338	133.00	4
50789	133.00	1
51240	133.00	2
51691	133.00	3
52142	133.00	4
52593	133.00	1
53045	133.00	2
53496	133.00	3
53947	133.00	4
54398	133.00	1
54849	133.00	2
55300	133.00	3
55751	133.00	4
56202	133.00	1
56654	133.00	2
57105	133.00	3
57556	133.00	4
