# rekordbox 7 PQTZ beatgrid for testdata/seeker-sample/04-tekra-ybbob_(original_mix)-09ee0376.mp3
# position_ms	bpm	beat_number
1	131.00	1
459	131.00	2
917	131.00	3
1375	131.00	4
1833	131.00	1
2291	131.00	2
2749	131.00	3
3207	131.00	4
3665	131.00	1
4123	131.00	2
4581	131.00	3
5039	131.00	4
5497	131.00	1
5955	131.00	2
6413	131.00	3
6871	131.00	4
7329	131.00	1
7787	131.00	2
8245	131.00	3
8703	131.00	4
9161	131.00	1
9619	131.00	2
10077	131.00	3
10535	131.00	4
10993	131.00	1
11451	131.00	2
11909	131.00	3
12367	131.00	4
12825	131.00	1
13283	131.00	2
13741	131.00	3
14199	131.00	4
14657	131.00	1
15115	131.00	2
15573	131.00	3
16031	131.00	4
16489	131.00	1
16947	131.00	2
17405	131.00	3
17863	131.00	4
18321	131.00	1
18779	131.00	2
19237	131.00	3
19695	131.00	4
20153	131.00	1
20611	131.00	2
21069	131.00	3
21527	131.00	4
21985	131.00	1
22443	131.00	2
22901	131.00	3
23359	131.00	4
23817	131.00	1
24275	131.00	2
24733	131.00	3
25191	131.00	4
25649	131.00	1
26107	131.00	2
26565	131.00	3
27023	131.00	4
27481	131.00	1
27939	131.00	2
28397	131.00	3
28855	131.00	4
29313	131.00	1
29771	131.00	2
30229	131.00	3
30688	131.00	4
31145	131.00	1
31604	131.00	2
32061	131.00	3
32520	131.00	4
32977	131.00	1
33436	131.00	2
33893	131.00	3
34352	131.00	4
34810	131.00	1
35268	131.00	2
35726	131.00	3
36184	131.00	4
36642	131.00	1
37100	131.00	2
37558	131.00	3
38016	131.00	4
38474	131.00	1
38932	131.00	2
39390	131.00	3
39848	131.00	4
40306	131.00	1
40764	131.00	2
41222	131.00	3
41680	131.00	4
42138	131.00	1
42596	131.00	2
43054	131.00	3
43512	131.00	4
43970	131.00	1
44428	131.00	2
44886	131.00	3
45344	131.00	4
45802	131.00	1
46260	131.00	2
46718	131.00	3
47176	131.00	4
47634	131.00	1
48092	131.00	2
48550	131.00	3
49008	131.00	4
49466	131.00	1
49924	131.00	2
50382	131.00	3
50840	131.00	4
51298	131.00	1
51756	131.00	2
52214	131.00	3
52672	131.00	4
53130	131.00	1
53588	131.00	2
54046	131.00	3
54504	131.00	4
54962	131.00	1
55420	131.00	2
55878	131.00	3
56336	131.00	4
56794	131.00	1
57252	131.00	2
57710	131.00	3
58168	131.00	4
58626	131.00	1
59084	131.00	2
59542	131.00	3
60000	131.00	4
60458	131.00	1
60916	131.00	2
61374	131.00	3
61832	131.00	4
62290	131.00	1
62748	131.00	2
63206	131.00	3
63664	131.00	4
