# rekordbox 7 PQTZ beatgrid for testdata/seeker-sample/05 domina (maurizio mix) (edit).mp3
# position_ms	bpm	beat_number
299	129.02	2
764	129.02	3
1229	129.02	4
1694	129.02	1
2159	129.02	2
2624	129.02	3
3089	129.02	4
3555	129.02	1
4020	129.02	2
4485	129.02	3
4950	129.02	4
5415	129.02	1
5880	129.02	2
6345	129.02	3
6810	129.02	4
7275	129.02	1
7740	129.02	2
8205	129.02	3
8670	129.02	4
9135	129.02	1
9600	129.02	2
10065	129.02	3
10530	129.02	4
10995	129.02	1
11460	129.02	2
11925	129.02	3
12391	129.02	4
12856	129.02	1
13321	129.02	2
13786	129.02	3
14251	129.02	4
14716	129.02	1
15181	129.02	2
15646	129.02	3
16111	129.02	4
16576	129.02	1
17041	129.02	2
17506	129.02	3
17971	129.02	4
18436	129.02	1
18901	129.02	2
19366	129.02	3
19831	129.02	4
20297	129.02	1
20762	129.02	2
21227	129.02	3
21692	129.02	4
22157	129.02	1
22622	129.02	2
23087	129.02	3
23552	129.02	4
24017	129.02	1
24482	129.02	2
24947	129.02	3
25412	129.02	4
25877	129.02	1
26342	129.02	2
26807	129.02	3
27272	129.02	4
27737	129.02	1
28202	129.02	2
28668	129.02	3
29133	129.02	4
29598	129.02	1
30063	129.02	2
30528	129.02	3
30993	129.02	4
31458	129.02	1
31923	129.02	2
32388	129.02	3
32853	129.02	4
33318	129.02	1
33783	129.02	2
34248	129.02	3
34713	129.02	4
35178	129.02	1
35643	129.02	2
36108	129.02	3
36573	129.02	4
37039	129.02	1
37504	129.02	2
37969	129.02	3
38434	129.02	4
38899	129.02	1
39364	129.02	2
39829	129.02	3
40294	129.02	4
40759	129.02	1
41224	129.02	2
41689	129.02	3
42154	129.02	4
42619	129.02	1
43084	129.02	2
43549	129.02	3
44014	129.02	4
44479	129.02	1
44945	129.02	2
45410	129.02	3
45875	129.02	4
46340	129.02	1
46805	129.02	2
47270	129.02	3
47735	129.02	4
48200	129.02	1
48665	129.02	2
49130	129.02	3
49595	129.02	4
50060	129.02	1
50525	129.02	2
50990	129.02	3
51455	129.02	4
51920	129.02	1
52385	129.02	2
52850	129.02	3
53316	129.02	4
53781	129.02	1
54246	129.02	2
54711	129.02	3
55176	129.02	4
55641	129.02	1
56106	129.02	2
56571	129.02	3
57036	129.02	4
57501	129.02	1
57966	129.02	2
58431	129.02	3
58896	129.02	4
59361	129.02	1
59826	129.02	2
60291	129.02	3
60756	129.02	4
61221	129.02	1
61686	129.02	2
62152	129.02	3
62617	129.02	4
63082	129.02	1
63547	129.02	2
64012	129.02	3
64477	129.02	4
64942	129.02	1
65407	129.02	2
65872	129.02	3
66337	129.02	4
66802	129.02	1
67267	129.02	2
67732	129.02	3
68197	129.02	4
68662	129.02	1
69127	129.02	2
69593	129.02	3
70058	129.02	4
70523	129.02	1
70988	129.02	2
71453	129.02	3
71918	129.02	4
72383	129.02	1
72848	129.02	2
73313	129.02	3
73778	129.02	4
74243	129.02	1
74708	129.02	2
75173	129.02	3
75638	129.02	4
76103	129.02	1
76568	129.02	2
77033	129.02	3
77498	129.02	4
77963	129.02	1
78429	129.02	2
78894	129.02	3
79359	129.02	4
79824	129.02	1
80289	129.02	2
80754	129.02	3
81219	129.02	4
81684	129.02	1
82149	129.02	2
82614	129.02	3
83079	129.02	4
83544	129.02	1
84009	129.02	2
84474	129.02	3
84939	129.02	4
85404	129.02	1
85869	129.02	2
86335	129.02	3
86800	129.02	4
87265	129.02	1
87730	129.02	2
88195	129.02	3
88660	129.02	4
89125	129.02	1
89590	129.02	2
90055	129.02	3
90520	129.02	4
90985	129.02	1
91450	129.02	2
91915	129.02	3
92380	129.02	4
92845	129.02	1
93310	129.02	2
93775	129.02	3
94240	129.02	4
94706	129.02	1
95171	129.02	2
95636	129.02	3
96101	129.02	4
96566	129.02	1
97031	129.02	2
97496	129.02	3
97961	129.02	4
98426	129.02	1
98891	129.02	2
99356	129.02	3
99821	129.02	4
100286	129.02	1
100751	129.02	2
101216	129.02	3
101681	129.02	4
102146	129.02	1
102611	129.02	2
103077	129.02	3
103542	129.02	4
104007	129.02	1
104472	129.02	2
104937	129.02	3
105402	129.02	4
105867	129.02	1
106332	129.02	2
106797	129.02	3
107262	129.02	4
107727	129.02	1
108192	129.02	2
108657	129.02	3
109122	129.02	4
109587	129.02	1
110052	129.02	2
110517	129.02	3
110983	129.02	4
111448	129.02	1
111913	129.02	2
112378	129.02	3
112843	129.02	4
113308	129.02	1
113773	129.02	2
114238	129.02	3
114703	129.02	4
115168	129.02	1
115633	129.02	2
116098	129.02	3
116563	129.02	4
117028	129.02	1
117493	129.02	2
117958	129.02	3
118423	129.02	4
118888	129.02	1
119354	129.02	2
119819	129.02	3
120284	129.02	4
120749	129.02	1
121214	129.02	2
121679	129.02	3
122144	129.02	4
122609	129.02	1
123074	129.02	2
123539	129.02	3
124004	129.02	4
124469	129.02	1
124934	129.02	2
125399	129.02	3
125864	129.02	4
126329	129.02	1
126794	129.02	2
127259	129.02	3
127724	129.02	4
128190	129.02	1
128655	129.02	2
129120	129.02	3
129585	129.02	4
130050	129.02	1
130515	129.02	2
130980	129.02	3
131445	129.02	4
131910	129.02	1
132375	129.02	2
132840	129.02	3
133305	129.02	4
133770	129.02	1
134235	129.02	2
134700	129.02	3
135165	129.02	4
135631	129.02	1
136096	129.02	2
136561	129.02	3
137026	129.02	4
137491	129.02	1
137956	129.02	2
138421	129.02	3
138886	129.02	4
139351	129.02	1
139816	129.02	2
140281	129.02	3
140746	129.02	4
141211	129.02	1
141676	129.02	2
142141	129.02	3
142606	129.02	4
143071	129.02	1
143536	129.02	2
144001	129.02	3
144467	129.02	4
144932	129.02	1
145397	129.02	2
145862	129.02	3
146327	129.02	4
146792	129.02	1
147257	129.02	2
147722	129.02	3
148187	129.02	4
148652	129.02	1
149117	129.02	2
149582	129.02	3
150047	129.02	4
150512	129.02	1
150977	129.02	2
151442	129.02	3
151907	129.02	4
152373	129.02	1
152838	129.02	2
153303	129.02	3
153768	129.02	4
154233	129.02	1
154698	129.02	2
155163	129.02	3
155628	129.02	4
156093	129.02	1
156558	129.02	2
157023	129.02	3
157488	129.02	4
157953	129.02	1
158418	129.02	2
158883	129.02	3
159348	129.02	4
159813	129.02	1
160279	129.02	2
160744	129.02	3
161209	129.02	4
161674	129.02	1
162139	129.02	2
162604	129.02	3
163069	129.02	4
163534	129.02	1
163999	129.02	2
164464	129.02	3
164929	129.02	4
165394	129.02	1
165859	129.02	2
166324	129.02	3
166789	129.02	4
167254	129.02	1
167719	129.02	2
168184	129.02	3
168649	129.02	4
169115	129.02	1
169580	129.02	2
170045	129.02	3
170510	129.02	4
170975	129.02	1
171440	129.02	2
171905	129.02	3
172370	129.02	4
172835	129.02	1
173300	129.02	2
173765	129.02	3
174230	129.02	4
174695	129.02	1
175160	129.02	2
175625	129.02	3
176090	129.02	4
176555	129.02	1
177021	129.02	2
177486	129.02	3
177951	129.02	4
178416	129.02	1
178881	129.02	2
179346	129.02	3
179811	129.02	4
180276	129.02	1
180741	129.02	2
181206	129.02	3
181671	129.02	4
182136	129.02	1
182601	129.02	2
183066	129.02	3
183531	129.02	4
183996	129.02	1
184461	129.02	2
