# rekordbox 7 PQTZ beatgrid for testdata/seeker-sample/052 Baby Ford - Monolense.mp3
# position_ms	bpm	beat_number
376	132.99	1
827	132.99	2
1279	132.99	3
1730	132.99	4
2181	132.99	1
2632	132.99	2
3083	132.99	3
3534	132.99	4
3985	132.99	1
4437	132.99	2
4888	132.99	3
5339	132.99	4
5790	132.99	1
6241	132.99	2
6692	132.99	3
7143	132.99	4
7595	132.99	1
8046	132.99	2
8497	132.99	3
8948	132.99	4
9399	132.99	1
9850	132.99	2
10301	132.99	3
10753	132.99	4
11204	132.99	1
11655	132.99	2
12106	132.99	3
12557	132.99	4
13008	132.99	1
13460	132.99	2
13911	132.99	3
14362	132.99	4
14813	132.99	1
15264	132.99	2
15715	132.99	3
16166	132.99	4
16618	132.99	1
17069	132.99	2
17520	132.99	3
17971	132.99	4
18422	132.99	1
18873	132.99	2
19324	132.99	3
19776	132.99	4
20227	132.99	1
20678	132.99	2
21129	132.99	3
21580	132.99	4
22031	132.99	1
22482	132.99	2
22934	132.99	3
23385	132.99	4
23836	132.99	1
24287	132.99	2
24738	132.99	3
25189	132.99	4
25641	132.99	1
26092	132.99	2
26543	132.99	3
26994	132.99	4
27445	132.99	1
27896	132.99	2
28347	132.99	3
28799	132.99	4
29250	132.99	1
29701	132.99	2
30152	132.99	3
30603	132.99	4
31054	132.99	1
31505	132.99	2
31957	132.99	3
32408	132.99	4
32859	132.99	1
33310	132.99	2
33761	132.99	3
34212	132.99	4
34664	132.99	1
35115	132.99	2
35566	132.99	3
36017	132.99	4
36468	132.99	1
36919	132.99	2
37370	132.99	3
37822	132.99	4
38273	132.99	1
38724	132.99	2
39175	132.99	3
39626	132.99	4
40077	132.99	1
40528	132.99	2
40980	132.99	3
41431	132.99	4
41882	132.99	1
42333	132.99	2
42784	132.99	3
43235	132.99	4
43686	132.99	1
44138	132.99	2
44589	132.99	3
45040	132.99	4
45491	132.99	1
45942	132.99	2
46393	132.99	3
46845	132.99	4
47296	132.99	1
47747	132.99	2
48198	132.99	3
48649	132.99	4
49100	132.99	1
49551	132.99	2
50003	132.99	3
50454	132.99	4
50905	132.99	1
51356	132.99	2
51807	132.99	3
52258	132.99	4
52710	132.99	1
53161	132.99	2
53612	132.99	3
54063	132.99	4
54514	132.99	1
54965	132.99	2
55416	132.99	3
55868	132.99	4
