# rekordbox 7 PQTZ beatgrid for testdata/seeker-sample/063 - Peter Van Hoesen - Exit Strategy.mp3
# position_ms	bpm	beat_number
24	135.00	1
468	135.00	2
913	135.00	3
1357	135.00	4
1802	135.00	1
2246	135.00	2
2690	135.00	3
3135	135.00	4
3579	135.00	1
4024	135.00	2
4468	135.00	3
4913	135.00	4
5357	135.00	1
5802	135.00	2
6246	135.00	3
6690	135.00	4
7135	135.00	1
7579	135.00	2
8024	135.00	3
8468	135.00	4
8913	135.00	1
9357	135.00	2
9802	135.00	3
10246	135.00	4
10690	135.00	1
11135	135.00	2
11579	135.00	3
12024	135.00	4
12468	135.00	1
12913	135.00	2
13357	135.00	3
13802	135.00	4
14246	135.00	1
14690	135.00	2
15135	135.00	3
15579	135.00	4
16024	135.00	1
16468	135.00	2
16913	135.00	3
17357	135.00	4
17802	135.00	1
18246	135.00	2
18690	135.00	3
19135	135.00	4
19579	135.00	1
20024	135.00	2
20468	135.00	3
20913	135.00	4
21357	135.00	1
21802	135.00	2
22246	135.00	3
22690	135.00	4
23135	135.00	1
23579	135.00	2
24024	135.00	3
24468	135.00	4
24913	135.00	1
25357	135.00	2
25802	135.00	3
26246	135.00	4
26690	135.00	1
27135	135.00	2
27579	135.00	3
28024	135.00	4
28468	135.00	1
28913	135.00	2
29357	135.00	3
29802	135.00	4
30246	135.00	1
30691	135.00	2
31135	135.00	3
31579	135.00	4
32024	135.00	1
32468	135.00	2
32913	135.00	3
33357	135.00	4
33802	135.00	1
34246	135.00	2
34691	135.00	3
35135	135.00	4
35579	135.00	1
36024	135.00	2
36468	135.00	3
36913	135.00	4
37357	135.00	1
37802	135.00	2
38246	135.00	3
38691	135.00	4
39135	135.00	1
39579	135.00	2
40024	135.00	3
40468	135.00	4
40913	135.00	1
41357	135.00	2
41802	135.00	3
42246	135.00	4
42691	135.00	1
43135	135.00	2
43579	135.00	3
44024	135.00	4
44468	135.00	1
44913	135.00	2
45357	135.00	3
45802	135.00	4
46246	135.00	1
46691	135.00	2
47135	135.00	3
47579	135.00	4
48024	135.00	1
48468	135.00	2
48913	135.00	3
49357	135.00	4
49802	135.00	1
50246	135.00	2
50691	135.00	3
51135	135.00	4
51579	135.00	1
52024	135.00	2
52468	135.00	3
52913	135.00	4
53357	135.00	1
53802	135.00	2
54246	135.00	3
54691	135.00	4
55135	135.00	1
55579	135.00	2
56024	135.00	3
56468	135.00	4
56913	135.00	1
57357	135.00	2
57802	135.00	3
58246	135.00	4
58691	135.00	1
59135	135.00	2
59579	135.00	3
60024	135.00	4
60468	135.00	1
60913	135.00	2
61357	135.00	3
61802	135.00	4
62246	135.00	1
62691	135.00	2
63135	135.00	3
63579	135.00	4
64024	135.00	1
64468	135.00	2
64913	135.00	3
65357	135.00	4
65802	135.00	1
66246	135.00	2
66691	135.00	3
67135	135.00	4
67579	135.00	1
68024	135.00	2
68468	135.00	3
68913	135.00	4
69357	135.00	1
69802	135.00	2
70246	135.00	3
70691	135.00	4
71135	135.00	1
71579	135.00	2
72024	135.00	3
72468	135.00	4
72913	135.00	1
73357	135.00	2
73802	135.00	3
74246	135.00	4
74691	135.00	1
75135	135.00	2
75579	135.00	3
76024	135.00	4
76468	135.00	1
76913	135.00	2
77357	135.00	3
77802	135.00	4
78246	135.00	1
78691	135.00	2
79135	135.00	3
79579	135.00	4
80024	135.00	1
80468	135.00	2
80913	135.00	3
81357	135.00	4
81802	135.00	1
82246	135.00	2
82691	135.00	3
83135	135.00	4
83579	135.00	1
84024	135.00	2
84468	135.00	3
84913	135.00	4
85357	135.00	1
85802	135.00	2
86246	135.00	3
86691	135.00	4
87135	135.00	1
87580	135.00	2
88024	135.00	3
88468	135.00	4
88913	135.00	1
89357	135.00	2
89802	135.00	3
90246	135.00	4
90691	135.00	1
91135	135.00	2
91580	135.00	3
92024	135.00	4
92468	135.00	1
92913	135.00	2
93357	135.00	3
93802	135.00	4
94246	135.00	1
94691	135.00	2
95135	135.00	3
95580	135.00	4
96024	135.00	1
96468	135.00	2
96913	135.00	3
97357	135.00	4
97802	135.00	1
98246	135.00	2
98691	135.00	3
99135	135.00	4
99580	135.00	1
100024	135.00	2
100468	135.00	3
100913	135.00	4
101357	135.00	1
101802	135.00	2
102246	135.00	3
102691	135.00	4
103135	135.00	1
103580	135.00	2
104024	135.00	3
104468	135.00	4
104913	135.00	1
105357	135.00	2
105802	135.00	3
106246	135.00	4
106691	135.00	1
107135	135.00	2
107580	135.00	3
108024	135.00	4
108468	135.00	1
108913	135.00	2
109357	135.00	3
109802	135.00	4
110246	135.00	1
110691	135.00	2
111135	135.00	3
111580	135.00	4
112024	135.00	1
112468	135.00	2
112913	135.00	3
113357	135.00	4
113802	135.00	1
114246	135.00	2
114691	135.00	3
115135	135.00	4
115580	135.00	1
116024	135.00	2
116468	135.00	3
116913	135.00	4
117357	135.00	1
117802	135.00	2
118246	135.00	3
118691	135.00	4
119135	135.00	1
119580	135.00	2
120024	135.00	3
120468	135.00	4
120913	135.00	1
121357	135.00	2
121802	135.00	3
122246	135.00	4
122691	135.00	1
123135	135.00	2
123580	135.00	3
124024	135.00	4
124468	135.00	1
124913	135.00	2
125357	135.00	3
125802	135.00	4
126246	135.00	1
126691	135.00	2
127135	135.00	3
127580	135.00	4
128024	135.00	1
128468	135.00	2
128913	135.00	3
129357	135.00	4
129802	135.00	1
130246	135.00	2
130691	135.00	3
131135	135.00	4
131580	135.00	1
132024	135.00	2
132468	135.00	3
132913	135.00	4
133357	135.00	1
133802	135.00	2
134246	135.00	3
134691	135.00	4
135135	135.00	1
135580	135.00	2
136024	135.00	3
136468	135.00	4
136913	135.00	1
137357	135.00	2
137802	135.00	3
138246	135.00	4
138691	135.00	1
139135	135.00	2
139580	135.00	3
140024	135.00	4
140468	135.00	1
140913	135.00	2
141357	135.00	3
141802	135.00	4
142246	135.00	1
142691	135.00	2
143135	135.00	3
143580	135.00	4
144024	135.00	1
144469	135.00	2
144913	135.00	3
145357	135.00	4
145802	135.00	1
146246	135.00	2
146691	135.00	3
147135	135.00	4
147580	135.00	1
148024	135.00	2
148469	135.00	3
148913	135.00	4
149357	135.00	1
149802	135.00	2
150246	135.00	3
150691	135.00	4
151135	135.00	1
151580	135.00	2
152024	135.00	3
152469	135.00	4
152913	135.00	1
153357	135.00	2
153802	135.00	3
154246	135.00	4
154691	135.00	1
155135	135.00	2
155580	135.00	3
156024	135.00	4
156469	135.00	1
156913	135.00	2
157357	135.00	3
157802	135.00	4
158246	135.00	1
158691	135.00	2
159135	135.00	3
159580	135.00	4
160024	135.00	1
160469	135.00	2
160913	135.00	3
161357	135.00	4
161802	135.00	1
162246	135.00	2
162691	135.00	3
163135	135.00	4
163580	135.00	1
164024	135.00	2
164469	135.00	3
164913	135.00	4
165357	135.00	1
165802	135.00	2
166246	135.00	3
166691	135.00	4
