# rekordbox 7 PQTZ beatgrid for testdata/seeker-sample/07 All That Nothing.mp3
# position_ms	bpm	beat_number
133	128.01	1
602	128.01	2
1071	128.01	3
1539	128.01	4
2008	128.01	1
2477	128.01	2
2946	128.01	3
3414	128.01	4
3883	128.01	1
4352	128.01	2
4821	128.01	3
5289	128.01	4
5758	128.01	1
6227	128.01	2
6695	128.01	3
7164	128.01	4
7633	128.01	1
8102	128.01	2
8570	128.01	3
9039	128.01	4
9508	128.01	1
9977	128.01	2
10445	128.01	3
10914	128.01	4
11383	128.01	1
11851	128.01	2
12320	128.01	3
12789	128.01	4
13258	128.01	1
13726	128.01	2
14195	128.01	3
14664	128.01	4
15133	128.01	1
15601	128.01	2
16070	128.01	3
16539	128.01	4
17008	128.01	1
17476	128.01	2
17945	128.01	3
18414	128.01	4
18882	128.01	1
19351	128.01	2
19820	128.01	3
20289	128.01	4
20757	128.01	1
21226	128.01	2
21695	128.01	3
22164	128.01	4
22632	128.01	1
23101	128.01	2
23570	128.01	3
24039	128.01	4
24507	128.01	1
24976	128.01	2
25445	128.01	3
25913	128.01	4
26382	128.01	1
26851	128.01	2
27320	128.01	3
27788	128.01	4
28257	128.01	1
28726	128.01	2
29195	128.01	3
29663	128.01	4
30132	128.01	1
30601	128.01	2
31069	128.01	3
31538	128.01	4
32007	128.01	1
32476	128.01	2
32944	128.01	3
33413	128.01	4
33882	128.01	1
34351	128.01	2
34819	128.01	3
35288	128.01	4
35757	128.01	1
36225	128.01	2
36694	128.01	3
37163	128.01	4
37632	128.01	1
38100	128.01	2
38569	128.01	3
39038	128.01	4
39507	128.01	1
39975	128.01	2
40444	128.01	3
40913	128.01	4
41381	128.01	1
41850	128.01	2
42319	128.01	3
42788	128.01	4
43256	128.01	1
43725	128.01	2
44194	128.01	3
44663	128.01	4
45131	128.01	1
45600	128.01	2
46069	128.01	3
46537	128.01	4
47006	128.01	1
47475	128.01	2
47944	128.01	3
48412	128.01	4
48881	128.01	1
49350	128.01	2
49819	128.01	3
50287	128.01	4
50756	128.01	1
51225	128.01	2
51693	128.01	3
52162	128.01	4
52631	128.01	1
53100	128.01	2
53568	128.01	3
54037	128.01	4
54506	128.01	1
54975	128.01	2
55443	128.01	3
55912	128.01	4
56381	128.01	1
56849	128.01	2
57318	128.01	3
57787	128.01	4
58256	128.01	1
58724	128.01	2
59193	128.01	3
59662	128.01	4
60131	128.01	1
60599	128.01	2
61068	128.01	3
61537	128.01	4
62006	128.01	1
62474	128.01	2
62943	128.01	3
63412	128.01	4
63880	128.01	1
64349	128.01	2
64818	128.01	3
65287	128.01	4
65755	128.01	1
66224	128.01	2
66693	128.01	3
67162	128.01	4
67630	128.01	1
68099	128.01	2
68568	128.01	3
69037	128.01	4
69505	128.01	1
69974	128.01	2
70443	128.01	3
70911	128.01	4
71380	128.01	1
71849	128.01	2
72318	128.01	3
72786	128.01	4
73255	128.01	1
73724	128.01	2
74193	128.01	3
74661	128.01	4
75130	128.01	1
75599	128.01	2
76067	128.01	3
76536	128.01	4
77005	128.01	1
77474	128.01	2
77942	128.01	3
78411	128.01	4
78880	128.01	1
79349	128.01	2
79817	128.01	3
80286	128.01	4
80755	128.01	1
81223	128.01	2
81692	128.01	3
82161	128.01	4
82630	128.01	1
83098	128.01	2
83567	128.01	3
84036	128.01	4
84505	128.01	1
84973	128.01	2
85442	128.01	3
85911	128.01	4
86379	128.01	1
86848	128.01	2
87317	128.01	3
87786	128.01	4
88254	128.01	1
88723	128.01	2
89192	128.01	3
89661	128.01	4
90129	128.01	1
90598	128.01	2
91067	128.01	3
91535	128.01	4
92004	128.01	1
92473	128.01	2
92942	128.01	3
93410	128.01	4
93879	128.01	1
94348	128.01	2
94817	128.01	3
95285	128.01	4
95754	128.01	1
96223	128.01	2
96691	128.01	3
97160	128.01	4
97629	128.01	1
98098	128.01	2
98566	128.01	3
99035	128.01	4
99504	128.01	1
99973	128.01	2
100441	128.01	3
100910	128.01	4
101379	128.01	1
101847	128.01	2
102316	128.01	3
102785	128.01	4
103254	128.01	1
103722	128.01	2
104191	128.01	3
104660	128.01	4
105129	128.01	1
105597	128.01	2
106066	128.01	3
106535	128.01	4
107004	128.01	1
107472	128.01	2
107941	128.01	3
108410	128.01	4
108878	128.01	1
109347	128.01	2
109816	128.01	3
110285	128.01	4
110753	128.01	1
111222	128.01	2
111691	128.01	3
112160	128.01	4
112628	128.01	1
113097	128.01	2
113566	128.01	3
114035	128.01	4
114503	128.01	1
114972	128.01	2
115441	128.01	3
115909	128.01	4
116378	128.01	1
116847	128.01	2
117316	128.01	3
117784	128.01	4
118253	128.01	1
118722	128.01	2
119191	128.01	3
119659	128.01	4
120128	128.01	1
120597	128.01	2
121065	128.01	3
121534	128.01	4
122003	128.01	1
122472	128.01	2
122940	128.01	3
123409	128.01	4
123878	128.01	1
124347	128.01	2
124815	128.01	3
125284	128.01	4
125753	128.01	1
126221	128.01	2
126690	128.01	3
127159	128.01	4
127628	128.01	1
128096	128.01	2
128565	128.01	3
129034	128.01	4
129503	128.01	1
129971	128.01	2
130440	128.01	3
130909	128.01	4
131377	128.01	1
131846	128.01	2
132315	128.01	3
132784	128.01	4
133252	128.01	1
133721	128.01	2
134190	128.01	3
134659	128.01	4
135127	128.01	1
135596	128.01	2
136065	128.01	3
136533	128.01	4
137002	128.01	1
137471	128.01	2
137940	128.01	3
138408	128.01	4
138877	128.01	1
139346	128.01	2
139815	128.01	3
140283	128.01	4
140752	128.01	1
141221	128.01	2
141689	128.01	3
142158	128.01	4
142627	128.01	1
143096	128.01	2
143564	128.01	3
144033	128.01	4
144502	128.01	1
144971	128.01	2
145439	128.01	3
145908	128.01	4
146377	128.01	1
146845	128.01	2
147314	128.01	3
147783	128.01	4
148252	128.01	1
148720	128.01	2
149189	128.01	3
149658	128.01	4
150127	128.01	1
150595	128.01	2
151064	128.01	3
151533	128.01	4
152001	128.01	1
152470	128.01	2
152939	128.01	3
153408	128.01	4
153876	128.01	1
154345	128.01	2
154814	128.01	3
155283	128.01	4
155751	128.01	1
156220	128.01	2
156689	128.01	3
157158	128.01	4
157626	128.01	1
158095	128.01	2
158564	128.01	3
159033	128.01	4
159501	128.01	1
159970	128.01	2
160439	128.01	3
160907	128.01	4
161376	128.01	1
161845	128.01	2
162314	128.01	3
162782	128.01	4
163251	128.01	1
163720	128.01	2
164189	128.01	3
164657	128.01	4
165126	128.01	1
165595	128.01	2
166063	128.01	3
166532	128.01	4
167001	128.01	1
167470	128.01	2
167938	128.01	3
168407	128.01	4
168876	128.01	1
169345	128.01	2
169813	128.01	3
170282	128.01	4
170751	128.01	1
171219	128.01	2
171688	128.01	3
172157	128.01	4
172626	128.01	1
173094	128.01	2
173563	128.01	3
174032	128.01	4
174501	128.01	1
174969	128.01	2
175438	128.01	3
175907	128.01	4
176375	128.01	1
176844	128.01	2
177313	128.01	3
177782	128.01	4
178250	128.01	1
178719	128.01	2
179188	128.01	3
179657	128.01	4
180125	128.01	1
180594	128.01	2
181063	128.01	3
181531	128.01	4
182000	128.01	1
182469	128.01	2
182938	128.01	3
183406	128.01	4
183875	128.01	1
184344	128.01	2
184813	128.01	3
185281	128.01	4
185750	128.01	1
186219	128.01	2
186687	128.01	3
187156	128.01	4
187625	128.01	1
188094	128.01	2
188562	128.01	3
189031	128.01	4
189500	128.01	1
189969	128.01	2
190437	128.01	3
190906	128.01	4
191375	128.01	1
191843	128.01	2
192312	128.01	3
192781	128.01	4
193250	128.01	1
193718	128.01	2
194187	128.01	3
194656	128.01	4
195125	128.01	1
195593	128.01	2
196062	128.01	3
196531	128.01	4
197000	128.01	1
197468	128.01	2
197937	128.01	3
198406	128.01	4
198874	128.01	1
199343	128.01	2
199812	128.01	3
200281	128.01	4
200749	128.01	1
201218	128.01	2
201687	128.01	3
202156	128.01	4
202624	128.01	1
203093	128.01	2
203562	128.01	3
204031	128.01	4
204499	128.01	1
204968	128.01	2
205437	128.01	3
205905	128.01	4
206374	128.01	1
