# rekordbox 7 PQTZ beatgrid for testdata/seeker-sample/08-metapattern-pseudo_user.mp3
# position_ms	bpm	beat_number
29	137.00	1
467	137.00	2
905	137.00	3
1343	137.00	4
1781	137.00	1
2219	137.00	2
2657	137.00	3
3095	137.00	4
3533	137.00	1
3971	137.00	2
4408	137.00	3
4846	137.00	4
5284	137.00	1
5722	137.00	2
6160	137.00	3
6598	137.00	4
7036	137.00	1
7474	137.00	2
7912	137.00	3
8350	137.00	4
8788	137.00	1
9226	137.00	2
9664	137.00	3
10102	137.00	4
10540	137.00	1
10978	137.00	2
11416	137.00	3
11854	137.00	4
12292	137.00	1
12730	137.00	2
13168	137.00	3
13606	137.00	4
14044	137.00	1
14481	137.00	2
14919	137.00	3
15357	137.00	4
15795	137.00	1
16233	137.00	2
16671	137.00	3
17109	137.00	4
17547	137.00	1
17985	137.00	2
18423	137.00	3
18861	137.00	4
19299	137.00	1
19737	137.00	2
20175	137.00	3
20613	137.00	4
21051	137.00	1
21489	137.00	2
21927	137.00	3
22365	137.00	4
22803	137.00	1
23241	137.00	2
23679	137.00	3
24117	137.00	4
24554	137.00	1
24992	137.00	2
25430	137.00	3
25868	137.00	4
26306	137.00	1
26744	137.00	2
27182	137.00	3
27620	137.00	4
28058	137.00	1
28496	137.00	2
28934	137.00	3
29372	137.00	4
29810	137.00	1
30248	137.00	2
30686	137.00	3
31124	137.00	4
31562	137.00	1
32000	137.00	2
32438	137.00	3
32876	137.00	4
33314	137.00	1
33752	137.00	2
34190	137.00	3
34627	137.00	4
35065	137.00	1
35503	137.00	2
35941	137.00	3
36379	137.00	4
36817	137.00	1
37255	137.00	2
37693	137.00	3
38131	137.00	4
38569	137.00	1
39007	137.00	2
39445	137.00	3
39883	137.00	4
40321	137.00	1
40759	137.00	2
41197	137.00	3
41635	137.00	4
42073	137.00	1
42511	137.00	2
42949	137.00	3
43387	137.00	4
43825	137.00	1
44262	137.00	2
44700	137.00	3
45138	137.00	4
45576	137.00	1
46014	137.00	2
46452	137.00	3
46890	137.00	4
47328	137.00	1
47766	137.00	2
48204	137.00	3
48642	137.00	4
49080	137.00	1
49518	137.00	2
49956	137.00	3
50394	137.00	4
50832	137.00	1
51270	137.00	2
51708	137.00	3
52146	137.00	4
52584	137.00	1
53022	137.00	2
53460	137.00	3
53898	137.00	4
54335	137.00	1
54773	137.00	2
55211	137.00	3
55649	137.00	4
56087	137.00	1
56525	137.00	2
56963	137.00	3
57401	137.00	4
57839	137.00	1
58277	137.00	2
58715	137.00	3
59153	137.00	4
59591	137.00	1
60029	137.00	2
60467	137.00	3
60905	137.00	4
61343	137.00	1
61781	137.00	2
62219	137.00	3
62657	137.00	4
63095	137.00	1
63533	137.00	2
63971	137.00	3
64409	137.00	4
64846	137.00	1
65284	137.00	2
65722	137.00	3
66160	137.00	4
66598	137.00	1
67036	137.00	2
67474	137.00	3
67912	137.00	4
68350	137.00	1
68788	137.00	2
69226	137.00	3
69664	137.00	4
70102	137.00	1
70540	137.00	2
70978	137.00	3
71416	137.00	4
71854	137.00	1
72292	137.00	2
72730	137.00	3
73168	137.00	4
73606	137.00	1
74044	137.00	2
74481	137.00	3
74919	137.00	4
75357	137.00	1
75795	137.00	2
76233	137.00	3
76671	137.00	4
77109	137.00	1
77547	137.00	2
77985	137.00	3
78423	137.00	4
78861	137.00	1
79299	137.00	2
79737	137.00	3
80175	137.00	4
80613	137.00	1
81051	137.00	2
81489	137.00	3
81927	137.00	4
82365	137.00	1
82803	137.00	2
83241	137.00	3
83679	137.00	4
84117	137.00	1
