# rekordbox 7 PQTZ beatgrid for testdata/seeker-sample/1.02. Oriel.mp3
# position_ms	bpm	beat_number
207	125.01	1
687	125.01	2
1167	125.01	3
1647	125.01	4
2127	125.01	1
2607	125.01	2
3087	125.01	3
3567	125.01	4
4047	125.01	1
4526	125.01	2
5006	125.01	3
5486	125.01	4
5966	125.01	1
6446	125.01	2
6926	125.01	3
7406	125.01	4
7886	125.01	1
8366	125.01	2
8846	125.01	3
9326	125.01	4
9806	125.01	1
10286	125.01	2
10766	125.01	3
11246	125.01	4
11726	125.01	1
12206	125.01	2
12686	125.01	3
13166	125.01	4
13646	125.01	1
14125	125.01	2
14605	125.01	3
15085	125.01	4
15565	125.01	1
16045	125.01	2
16525	125.01	3
17005	125.01	4
17485	125.01	1
17965	125.01	2
18445	125.01	3
18925	125.01	4
19405	125.01	1
19885	125.01	2
20365	125.01	3
20845	125.01	4
21325	125.01	1
21805	125.01	2
22285	125.01	3
22765	125.01	4
23245	125.01	1
23724	125.01	2
24204	125.01	3
24684	125.01	4
25164	125.01	1
25644	125.01	2
26124	125.01	3
26604	125.01	4
27084	125.01	1
27564	125.01	2
28044	125.01	3
28524	125.01	4
29004	125.01	1
29484	125.01	2
29964	125.01	3
30444	125.01	4
30924	125.01	1
31404	125.01	2
31884	125.01	3
32364	125.01	4
32844	125.01	1
33323	125.01	2
33803	125.01	3
34283	125.01	4
34763	125.01	1
35243	125.01	2
35723	125.01	3
36203	125.01	4
36683	125.01	1
37163	125.01	2
37643	125.01	3
38123	125.01	4
38603	125.01	1
39083	125.01	2
39563	125.01	3
40043	125.01	4
40523	125.01	1
41003	125.01	2
41483	125.01	3
41963	125.01	4
42443	125.01	1
42922	125.01	2
43402	125.01	3
43882	125.01	4
44362	125.01	1
44842	125.01	2
45322	125.01	3
45802	125.01	4
46282	125.01	1
46762	125.01	2
47242	125.01	3
47722	125.01	4
48202	125.01	1
48682	125.01	2
49162	125.01	3
49642	125.01	4
50122	125.01	1
50602	125.01	2
51082	125.01	3
51562	125.01	4
52042	125.01	1
52521	125.01	2
53001	125.01	3
53481	125.01	4
53961	125.01	1
54441	125.01	2
54921	125.01	3
55401	125.01	4
55881	125.01	1
56361	125.01	2
56841	125.01	3
57321	125.01	4
57801	125.01	1
58281	125.01	2
58761	125.01	3
59241	125.01	4
59721	125.01	1
60201	125.01	2
60681	125.01	3
61161	125.01	4
61641	125.01	1
62120	125.01	2
62600	125.01	3
63080	125.01	4
63560	125.01	1
64040	125.01	2
64520	125.01	3
65000	125.01	4
65480	125.01	1
65960	125.01	2
66440	125.01	3
66920	125.01	4
67400	125.01	1
67880	125.01	2
68360	125.01	3
68840	125.01	4
69320	125.01	1
69800	125.01	2
70280	125.01	3
70760	125.01	4
71240	125.01	1
71720	125.01	2
72199	125.01	3
72679	125.01	4
73159	125.01	1
73639	125.01	2
74119	125.01	3
74599	125.01	4
75079	125.01	1
75559	125.01	2
76039	125.01	3
76519	125.01	4
76999	125.01	1
77479	125.01	2
77959	125.01	3
78439	125.01	4
78919	125.01	1
79399	125.01	2
79879	125.01	3
80359	125.01	4
80839	125.01	1
81319	125.01	2
81798	125.01	3
82278	125.01	4
82758	125.01	1
83238	125.01	2
83718	125.01	3
84198	125.01	4
84678	125.01	1
85158	125.01	2
85638	125.01	3
86118	125.01	4
86598	125.01	1
87078	125.01	2
87558	125.01	3
88038	125.01	4
88518	125.01	1
88998	125.01	2
89478	125.01	3
89958	125.01	4
90438	125.01	1
90918	125.01	2
91397	125.01	3
91877	125.01	4
92357	125.01	1
