# rekordbox 7 PQTZ beatgrid for testdata/seeker-sample/14-marcel_dettman-scourer.mp3
# position_ms	bpm	beat_number
124	130.00	1
586	130.00	2
1048	130.00	3
1509	130.00	4
1971	130.00	1
2432	130.00	2
2894	130.00	3
3355	130.00	4
3817	130.00	1
4278	130.00	2
4740	130.00	3
5201	130.00	4
5663	130.00	1
6124	130.00	2
6586	130.00	3
7048	130.00	4
7509	130.00	1
7971	130.00	2
8432	130.00	3
8894	130.00	4
9355	130.00	1
9817	130.00	2
10278	130.00	3
10740	130.00	4
11201	130.00	1
11663	130.00	2
12124	130.00	3
12586	130.00	4
13048	130.00	1
13509	130.00	2
13971	130.00	3
14432	130.00	4
14894	130.00	1
15355	130.00	2
15817	130.00	3
16278	130.00	4
16740	130.00	1
17201	130.00	2
17663	130.00	3
18124	130.00	4
18586	130.00	1
19048	130.00	2
19509	130.00	3
19971	130.00	4
20432	130.00	1
20894	130.00	2
21355	130.00	3
21817	130.00	4
22278	130.00	1
22740	130.00	2
23201	130.00	3
23663	130.00	4
24124	130.00	1
24586	130.00	2
25048	130.00	3
25509	130.00	4
25971	130.00	1
26432	130.00	2
26894	130.00	3
27355	130.00	4
27817	130.00	1
28278	130.00	2
28740	130.00	3
29201	130.00	4
29663	130.00	1
30124	130.00	2
30586	130.00	3
31048	130.00	4
31509	130.00	1
31971	130.00	2
32432	130.00	3
32894	130.00	4
33355	130.00	1
33817	130.00	2
34278	130.00	3
34740	130.00	4
35201	130.00	1
35663	130.00	2
36124	130.00	3
36586	130.00	4
37048	130.00	1
37509	130.00	2
37971	130.00	3
38432	130.00	4
38894	130.00	1
39355	130.00	2
39817	130.00	3
40278	130.00	4
40740	130.00	1
41201	130.00	2
41663	130.00	3
42124	130.00	4
42586	130.00	1
43048	130.00	2
43509	130.00	3
43971	130.00	4
44432	130.00	1
44894	130.00	2
45355	130.00	3
45817	130.00	4
46278	130.00	1
46740	130.00	2
47201	130.00	3
47663	130.00	4
48124	130.00	1
48586	130.00	2
49048	130.00	3
49509	130.00	4
49971	130.00	1
50432	130.00	2
50894	130.00	3
51355	130.00	4
51817	130.00	1
52278	130.00	2
52740	130.00	3
53201	130.00	4
53663	130.00	1
54124	130.00	2
54586	130.00	3
55048	130.00	4
55509	130.00	1
55971	130.00	2
56432	130.00	3
56894	130.00	4
57355	130.00	1
57817	130.00	2
58278	130.00	3
58740	130.00	4
59201	130.00	1
59663	130.00	2
60124	130.00	3
60586	130.00	4
61048	130.00	1
61509	130.00	2
61971	130.00	3
62432	130.00	4
62894	130.00	1
63355	130.00	2
63817	130.00	3
64278	130.00	4
64740	130.00	1
65201	130.00	2
65663	130.00	3
66124	130.00	4
66586	130.00	1
67048	130.00	2
67509	130.00	3
67971	130.00	4
68432	130.00	1
68894	130.00	2
69355	130.00	3
69817	130.00	4
70278	130.00	1
70740	130.00	2
71201	130.00	3
71663	130.00	4
72124	130.00	1
72586	130.00	2
73048	130.00	3
73509	130.00	4
73971	130.00	1
74432	130.00	2
74894	130.00	3
75355	130.00	4
75817	130.00	1
76278	130.00	2
76740	130.00	3
77201	130.00	4
77663	130.00	1
78124	130.00	2
78586	130.00	3
79048	130.00	4
79509	130.00	1
79971	130.00	2
80432	130.00	3
80894	130.00	4
81355	130.00	1
81817	130.00	2
82278	130.00	3
82740	130.00	4
83201	130.00	1
83663	130.00	2
84124	130.00	3
84586	130.00	4
85048	130.00	1
85509	130.00	2
85971	130.00	3
86432	130.00	4
86894	130.00	1
87355	130.00	2
87817	130.00	3
88278	130.00	4
88740	130.00	1
89201	130.00	2
89663	130.00	3
90124	130.00	4
90586	130.00	1
91048	130.00	2
91509	130.00	3
91971	130.00	4
92432	130.00	1
92894	130.00	2
93355	130.00	3
93817	130.00	4
94278	130.00	1
94740	130.00	2
95201	130.00	3
95663	130.00	4
96124	130.00	1
96586	130.00	2
97048	130.00	3
97509	130.00	4
97971	130.00	1
98432	130.00	2
98894	130.00	3
99355	130.00	4
99817	130.00	1
100278	130.00	2
100740	130.00	3
101201	130.00	4
101663	130.00	1
102124	130.00	2
102586	130.00	3
103048	130.00	4
103509	130.00	1
103971	130.00	2
104432	130.00	3
104894	130.00	4
105355	130.00	1
105817	130.00	2
106278	130.00	3
106740	130.00	4
107201	130.00	1
107663	130.00	2
108124	130.00	3
108586	130.00	4
109048	130.00	1
109509	130.00	2
109971	130.00	3
110432	130.00	4
110894	130.00	1
111355	130.00	2
111817	130.00	3
112278	130.00	4
112740	130.00	1
113201	130.00	2
113663	130.00	3
114124	130.00	4
114586	130.00	1
115048	130.00	2
115509	130.00	3
115971	130.00	4
116432	130.00	1
116894	130.00	2
117355	130.00	3
117817	130.00	4
118278	130.00	1
118740	130.00	2
119201	130.00	3
119663	130.00	4
120124	130.00	1
120586	130.00	2
121048	130.00	3
121509	130.00	4
121971	130.00	1
122432	130.00	2
122894	130.00	3
123355	130.00	4
123817	130.00	1
124278	130.00	2
124740	130.00	3
125201	130.00	4
125663	130.00	1
126124	130.00	2
126586	130.00	3
127048	130.00	4
127509	130.00	1
127971	130.00	2
128432	130.00	3
128894	130.00	4
129355	130.00	1
129817	130.00	2
130278	130.00	3
130740	130.00	4
131201	130.00	1
131663	130.00	2
132124	130.00	3
132586	130.00	4
133048	130.00	1
133509	130.00	2
133971	130.00	3
134432	130.00	4
134894	130.00	1
135355	130.00	2
135817	130.00	3
136278	130.00	4
136740	130.00	1
137201	130.00	2
137663	130.00	3
138124	130.00	4
138586	130.00	1
139048	130.00	2
139509	130.00	3
139971	130.00	4
140432	130.00	1
140894	130.00	2
141355	130.00	3
141817	130.00	4
142278	130.00	1
142740	130.00	2
143201	130.00	3
143663	130.00	4
144124	130.00	1
144586	130.00	2
145048	130.00	3
145509	130.00	4
145971	130.00	1
146432	130.00	2
146894	130.00	3
147355	130.00	4
147817	130.00	1
148278	130.00	2
148740	130.00	3
149201	130.00	4
149663	130.00	1
150124	130.00	2
150586	130.00	3
151048	130.00	4
151509	130.00	1
151971	130.00	2
152432	130.00	3
152894	130.00	4
153355	130.00	1
153817	130.00	2
154278	130.00	3
154740	130.00	4
155201	130.00	1
155663	130.00	2
156124	130.00	3
156586	130.00	4
157048	130.00	1
157509	130.00	2
157971	130.00	3
158432	130.00	4
158894	130.00	1
159355	130.00	2
159817	130.00	3
160278	130.00	4
160740	130.00	1
161201	130.00	2
161663	130.00	3
162124	130.00	4
162586	130.00	1
163048	130.00	2
163509	130.00	3
163971	130.00	4
164432	130.00	1
164894	130.00	2
165355	130.00	3
165817	130.00	4
166278	130.00	1
166740	130.00	2
167201	130.00	3
167663	130.00	4
168124	130.00	1
168586	130.00	2
169048	130.00	3
169509	130.00	4
169971	130.00	1
170432	130.00	2
170894	130.00	3
171355	130.00	4
171817	130.00	1
172278	130.00	2
172740	130.00	3
173201	130.00	4
173663	130.00	1
174124	130.00	2
174586	130.00	3
175048	130.00	4
175509	130.00	1
175971	130.00	2
176432	130.00	3
176894	130.00	4
177355	130.00	1
177817	130.00	2
178278	130.00	3
178740	130.00	4
179201	130.00	1
179663	130.00	2
180124	130.00	3
180586	130.00	4
181048	130.00	1
181509	130.00	2
181971	130.00	3
182432	130.00	4
182894	130.00	1
183355	130.00	2
183817	130.00	3
184278	130.00	4
184740	130.00	1
185201	130.00	2
185663	130.00	3
186124	130.00	4
186586	130.00	1
187048	130.00	2
187509	130.00	3
187971	130.00	4
188432	130.00	1
188894	130.00	2
189355	130.00	3
189817	130.00	4
190278	130.00	1
190740	130.00	2
191201	130.00	3
191663	130.00	4
192124	130.00	1
192586	130.00	2
193048	130.00	3
193509	130.00	4
193971	130.00	1
194432	130.00	2
194894	130.00	3
195355	130.00	4
195817	130.00	1
196278	130.00	2
196740	130.00	3
197201	130.00	4
197663	130.00	1
198124	130.00	2
198586	130.00	3
199048	130.00	4
199509	130.00	1
199971	130.00	2
200432	130.00	3
200894	130.00	4
201355	130.00	1
201817	130.00	2
202278	130.00	3
202740	130.00	4
203201	130.00	1
203663	130.00	2
204124	130.00	3
204586	130.00	4
205048	130.00	1
205509	130.00	2
205971	130.00	3
206432	130.00	4
206894	130.00	1
207355	130.00	2
207817	130.00	3
208278	130.00	4
208740	130.00	1
209201	130.00	2
209663	130.00	3
210124	130.00	4
210586	130.00	1
211048	130.00	2
211509	130.00	3
211971	130.00	4
212432	130.00	1
212894	130.00	2
213355	130.00	3
213817	130.00	4
214278	130.00	1
214740	130.00	2
215201	130.00	3
215663	130.00	4
216124	130.00	1
216586	130.00	2
217048	130.00	3
217509	130.00	4
217971	130.00	1
218432	130.00	2
218894	130.00	3
219355	130.00	4
219817	130.00	1
220278	130.00	2
220740	130.00	3
221201	130.00	4
221663	130.00	1
222124	130.00	2
222586	130.00	3
223048	130.00	4
