# rekordbox 7 PQTZ beatgrid for testdata/seeker-sample/Buttechno - Dub 22 [PSY012].mp3
# position_ms	bpm	beat_number
149	150.00	1
549	150.00	2
949	150.00	3
1349	150.00	4
1749	150.00	1
2149	150.00	2
2549	150.00	3
2949	150.00	4
3349	150.00	1
3749	150.00	2
4149	150.00	3
4549	150.00	4
4949	150.00	1
5349	150.00	2
5749	150.00	3
6149	150.00	4
6549	150.00	1
6949	150.00	2
7349	150.00	3
7749	150.00	4
8149	150.00	1
8549	150.00	2
8949	150.00	3
9349	150.00	4
9749	150.00	1
10149	150.00	2
10549	150.00	3
10949	150.00	4
11349	150.00	1
11749	150.00	2
12149	150.00	3
12549	150.00	4
12949	150.00	1
13349	150.00	2
13749	150.00	3
14149	150.00	4
14549	150.00	1
14949	150.00	2
15349	150.00	3
15749	150.00	4
16149	150.00	1
16549	150.00	2
16949	150.00	3
17349	150.00	4
17749	150.00	1
18149	150.00	2
18549	150.00	3
18949	150.00	4
19349	150.00	1
19749	150.00	2
20149	150.00	3
20549	150.00	4
20949	150.00	1
21349	150.00	2
21749	150.00	3
22149	150.00	4
22549	150.00	1
22949	150.00	2
23349	150.00	3
23749	150.00	4
24149	150.00	1
24549	150.00	2
24949	150.00	3
25349	150.00	4
25749	150.00	1
26149	150.00	2
26549	150.00	3
26949	150.00	4
27349	150.00	1
27749	150.00	2
28149	150.00	3
28549	150.00	4
28949	150.00	1
29349	150.00	2
29749	150.00	3
30149	150.00	4
30549	150.00	1
30949	150.00	2
31349	150.00	3
31749	150.00	4
32149	150.00	1
32549	150.00	2
32949	150.00	3
33349	150.00	4
33749	150.00	1
34149	150.00	2
34549	150.00	3
34949	150.00	4
35349	150.00	1
35749	150.00	2
36149	150.00	3
36549	150.00	4
36949	150.00	1
37349	150.00	2
37749	150.00	3
38149	150.00	4
38549	150.00	1
38949	150.00	2
39349	150.00	3
39749	150.00	4
40149	150.00	1
40549	150.00	2
40949	150.00	3
41349	150.00	4
41749	150.00	1
42149	150.00	2
42549	150.00	3
42949	150.00	4
43349	150.00	1
43749	150.00	2
44149	150.00	3
44549	150.00	4
44949	150.00	1
45349	150.00	2
45749	150.00	3
46149	150.00	4
46549	150.00	1
46949	150.00	2
47349	150.00	3
47749	150.00	4
48149	150.00	1
48549	150.00	2
48949	150.00	3
49349	150.00	4
49749	150.00	1
50149	150.00	2
50549	150.00	3
50949	150.00	4
51349	150.00	1
51749	150.00	2
52149	150.00	3
52549	150.00	4
52949	150.00	1
53349	150.00	2
53749	150.00	3
54149	150.00	4
54549	150.00	1
54949	150.00	2
55349	150.00	3
55749	150.00	4
56149	150.00	1
56549	150.00	2
56949	150.00	3
57349	150.00	4
57749	150.00	1
58149	150.00	2
58549	150.00	3
58949	150.00	4
59349	150.00	1
59749	150.00	2
60149	150.00	3
60549	150.00	4
60949	150.00	1
61349	150.00	2
61749	150.00	3
62149	150.00	4
62549	150.00	1
62949	150.00	2
63349	150.00	3
63749	150.00	4
64149	150.00	1
64549	150.00	2
64949	150.00	3
65349	150.00	4
65749	150.00	1
66149	150.00	2
66549	150.00	3
66949	150.00	4
67349	150.00	1
67749	150.00	2
68149	150.00	3
68549	150.00	4
68949	150.00	1
69349	150.00	2
69749	150.00	3
70149	150.00	4
70549	150.00	1
70949	150.00	2
71349	150.00	3
71749	150.00	4
72149	150.00	1
72549	150.00	2
72949	150.00	3
73349	150.00	4
73749	150.00	1
74149	150.00	2
74549	150.00	3
74949	150.00	4
75349	150.00	1
75749	150.00	2
76149	150.00	3
76549	150.00	4
76949	150.00	1
77349	150.00	2
77749	150.00	3
78149	150.00	4
78549	150.00	1
78949	150.00	2
79349	150.00	3
79749	150.00	4
80149	150.00	1
80549	150.00	2
80949	150.00	3
81349	150.00	4
81749	150.00	1
82149	150.00	2
82549	150.00	3
