# rekordbox 7 PQTZ beatgrid for testdata/seeker-sample/Ittetsu - Sand Blind premaster MASTER.mp3
# position_ms	bpm	beat_number
23	121.00	1
519	121.00	2
1014	121.00	3
1510	121.00	4
2006	121.00	1
2502	121.00	2
2998	121.00	3
3494	121.00	4
3990	121.00	1
4485	121.00	2
4981	121.00	3
5477	121.00	4
5973	121.00	1
6469	121.00	2
6965	121.00	3
7461	121.00	4
7957	121.00	1
8452	121.00	2
8948	121.00	3
9444	121.00	4
9940	121.00	1
10436	121.00	2
10932	121.00	3
11428	121.00	4
11923	121.00	1
12419	121.00	2
12915	121.00	3
13411	121.00	4
13907	121.00	1
14403	121.00	2
14899	121.00	3
15395	121.00	4
15890	121.00	1
16386	121.00	2
16882	121.00	3
17378	121.00	4
17874	121.00	1
18370	121.00	2
18866	121.00	3
19361	121.00	4
19857	121.00	1
20353	121.00	2
20849	121.00	3
21345	121.00	4
21841	121.00	1
22337	121.00	2
22833	121.00	3
23328	121.00	4
23824	121.00	1
24320	121.00	2
24816	121.00	3
25312	121.00	4
25808	121.00	1
26304	121.00	2
26800	121.00	3
27295	121.00	4
27791	121.00	1
28287	121.00	2
28783	121.00	3
29279	121.00	4
29775	121.00	1
30271	121.00	2
30766	121.00	3
31262	121.00	4
31758	121.00	1
32254	121.00	2
32750	121.00	3
33246	121.00	4
33742	121.00	1
34238	121.00	2
34733	121.00	3
35229	121.00	4
35725	121.00	1
36221	121.00	2
36717	121.00	3
37213	121.00	4
37709	121.00	1
38204	121.00	2
38700	121.00	3
39196	121.00	4
39692	121.00	1
40188	121.00	2
40684	121.00	3
41180	121.00	4
41676	121.00	1
42171	121.00	2
42667	121.00	3
43163	121.00	4
43659	121.00	1
44155	121.00	2
44651	121.00	3
45147	121.00	4
45642	121.00	1
46138	121.00	2
46634	121.00	3
47130	121.00	4
47626	121.00	1
48122	121.00	2
48618	121.00	3
49114	121.00	4
49609	121.00	1
50105	121.00	2
50601	121.00	3
51097	121.00	4
51593	121.00	1
52089	121.00	2
52585	121.00	3
53080	121.00	4
53576	121.00	1
54072	121.00	2
54568	121.00	3
55064	121.00	4
55560	121.00	1
56056	121.00	2
56552	121.00	3
57047	121.00	4
57543	121.00	1
58039	121.00	2
58535	121.00	3
59031	121.00	4
59527	121.00	1
60023	121.00	2
60519	121.00	3
61014	121.00	4
61510	121.00	1
62006	121.00	2
62502	121.00	3
62998	121.00	4
63494	121.00	1
63990	121.00	2
64485	121.00	3
64981	121.00	4
65477	121.00	1
65973	121.00	2
66469	121.00	3
66965	121.00	4
67461	121.00	1
67957	121.00	2
68452	121.00	3
68948	121.00	4
69444	121.00	1
69940	121.00	2
70436	121.00	3
70932	121.00	4
