# rekordbox 7 PQTZ beatgrid for testdata/seeker-sample/Oscar Mulero - RB208 [30YRSFUSE].mp3
# position_ms	bpm	beat_number
178	140.00	1
607	140.00	2
1036	140.00	3
1464	140.00	4
1893	140.00	1
2321	140.00	2
2750	140.00	3
3178	140.00	4
3607	140.00	1
4036	140.00	2
4464	140.00	3
4893	140.00	4
5321	140.00	1
5750	140.00	2
6178	140.00	3
6607	140.00	4
7036	140.00	1
7464	140.00	2
7893	140.00	3
8321	140.00	4
8750	140.00	1
9178	140.00	2
9607	140.00	3
10036	140.00	4
10464	140.00	1
10893	140.00	2
11321	140.00	3
11750	140.00	4
12178	140.00	1
12607	140.00	2
13036	140.00	3
13464	140.00	4
13893	140.00	1
14321	140.00	2
14750	140.00	3
15178	140.00	4
15607	140.00	1
16036	140.00	2
16464	140.00	3
16893	140.00	4
17321	140.00	1
17750	140.00	2
18178	140.00	3
18607	140.00	4
19036	140.00	1
19464	140.00	2
19893	140.00	3
20321	140.00	4
20750	140.00	1
21178	140.00	2
21607	140.00	3
22036	140.00	4
22464	140.00	1
22893	140.00	2
23321	140.00	3
23750	140.00	4
24178	140.00	1
24607	140.00	2
25036	140.00	3
25464	140.00	4
25893	140.00	1
26321	140.00	2
26750	140.00	3
27178	140.00	4
27607	140.00	1
28036	140.00	2
28464	140.00	3
28893	140.00	4
29321	140.00	1
29750	140.00	2
30178	140.00	3
30607	140.00	4
31036	140.00	1
31464	140.00	2
31893	140.00	3
32321	140.00	4
32750	140.00	1
33178	140.00	2
33607	140.00	3
34036	140.00	4
34464	140.00	1
34893	140.00	2
35321	140.00	3
35750	140.00	4
36178	140.00	1
36607	140.00	2
37036	140.00	3
37464	140.00	4
37893	140.00	1
38321	140.00	2
38750	140.00	3
39178	140.00	4
39607	140.00	1
40036	140.00	2
40464	140.00	3
40893	140.00	4
41321	140.00	1
41750	140.00	2
42178	140.00	3
42607	140.00	4
43036	140.00	1
43464	140.00	2
43893	140.00	3
44321	140.00	4
44750	140.00	1
45178	140.00	2
45607	140.00	3
46036	140.00	4
46464	140.00	1
46893	140.00	2
47321	140.00	3
47750	140.00	4
48178	140.00	1
48607	140.00	2
49036	140.00	3
49464	140.00	4
49893	140.00	1
50321	140.00	2
50750	140.00	3
51178	140.00	4
51607	140.00	1
52036	140.00	2
52464	140.00	3
52893	140.00	4
53321	140.00	1
53750	140.00	2
54178	140.00	3
54607	140.00	4
55036	140.00	1
55464	140.00	2
55893	140.00	3
56321	140.00	4
56750	140.00	1
57178	140.00	2
57607	140.00	3
58036	140.00	4
58464	140.00	1
58893	140.00	2
59321	140.00	3
59750	140.00	4
60178	140.00	1
60607	140.00	2
61036	140.00	3
61464	140.00	4
61893	140.00	1
62321	140.00	2
62750	140.00	3
63178	140.00	4
63607	140.00	1
64036	140.00	2
64464	140.00	3
64893	140.00	4
65321	140.00	1
65750	140.00	2
66178	140.00	3
66607	140.00	4
67036	140.00	1
67464	140.00	2
67893	140.00	3
68321	140.00	4
68750	140.00	1
69178	140.00	2
69607	140.00	3
70036	140.00	4
70464	140.00	1
70893	140.00	2
71321	140.00	3
71750	140.00	4
72178	140.00	1
72607	140.00	2
73036	140.00	3
73464	140.00	4
73893	140.00	1
74321	140.00	2
74750	140.00	3
75178	140.00	4
75607	140.00	1
76036	140.00	2
76464	140.00	3
76893	140.00	4
77321	140.00	1
77750	140.00	2
78178	140.00	3
78607	140.00	4
79036	140.00	1
79464	140.00	2
79893	140.00	3
80321	140.00	4
80750	140.00	1
81178	140.00	2
81607	140.00	3
82036	140.00	4
82464	140.00	1
82893	140.00	2
83321	140.00	3
83750	140.00	4
84178	140.00	1
84607	140.00	2
85036	140.00	3
85464	140.00	4
85893	140.00	1
86321	140.00	2
86750	140.00	3
87178	140.00	4
87607	140.00	1
88036	140.00	2
88464	140.00	3
88893	140.00	4
89321	140.00	1
89750	140.00	2
90178	140.00	3
90607	140.00	4
91036	140.00	1
91464	140.00	2
91893	140.00	3
92321	140.00	4
92750	140.00	1
93178	140.00	2
93607	140.00	3
94036	140.00	4
94464	140.00	1
94893	140.00	2
95321	140.00	3
95750	140.00	4
96178	140.00	1
96607	140.00	2
97036	140.00	3
97464	140.00	4
97893	140.00	1
98321	140.00	2
98750	140.00	3
99178	140.00	4
99607	140.00	1
100036	140.00	2
100464	140.00	3
100893	140.00	4
101321	140.00	1
101750	140.00	2
102178	140.00	3
102607	140.00	4
103036	140.00	1
103464	140.00	2
103893	140.00	3
104321	140.00	4
104750	140.00	1
105178	140.00	2
105607	140.00	3
106036	140.00	4
106464	140.00	1
106893	140.00	2
107321	140.00	3
107750	140.00	4
108178	140.00	1
108607	140.00	2
109036	140.00	3
109464	140.00	4
109893	140.00	1
110321	140.00	2
110750	140.00	3
111178	140.00	4
111607	140.00	1
112036	140.00	2
112464	140.00	3
112893	140.00	4
113321	140.00	1
113750	140.00	2
114178	140.00	3
114607	140.00	4
115036	140.00	1
115464	140.00	2
115893	140.00	3
116321	140.00	4
116750	140.00	1
117178	140.00	2
117607	140.00	3
118036	140.00	4
118464	140.00	1
118893	140.00	2
119321	140.00	3
119750	140.00	4
120178	140.00	1
120607	140.00	2
121036	140.00	3
121464	140.00	4
121893	140.00	1
122321	140.00	2
122750	140.00	3
123178	140.00	4
123607	140.00	1
124036	140.00	2
124464	140.00	3
124893	140.00	4
125321	140.00	1
125750	140.00	2
126178	140.00	3
126607	140.00	4
127036	140.00	1
127464	140.00	2
127893	140.00	3
128321	140.00	4
128750	140.00	1
129178	140.00	2
129607	140.00	3
130036	140.00	4
130464	140.00	1
130893	140.00	2
131321	140.00	3
131750	140.00	4
132178	140.00	1
132607	140.00	2
133036	140.00	3
133464	140.00	4
133893	140.00	1
134321	140.00	2
134750	140.00	3
135178	140.00	4
135607	140.00	1
136036	140.00	2
136464	140.00	3
136893	140.00	4
137321	140.00	1
137750	140.00	2
138178	140.00	3
138607	140.00	4
139036	140.00	1
139464	140.00	2
139893	140.00	3
140321	140.00	4
140750	140.00	1
141178	140.00	2
141607	140.00	3
142036	140.00	4
142464	140.00	1
142893	140.00	2
143321	140.00	3
143750	140.00	4
144178	140.00	1
144607	140.00	2
145036	140.00	3
145464	140.00	4
145893	140.00	1
146321	140.00	2
146750	140.00	3
147178	140.00	4
147607	140.00	1
148036	140.00	2
148464	140.00	3
148893	140.00	4
149321	140.00	1
149750	140.00	2
150178	140.00	3
150607	140.00	4
151036	140.00	1
151464	140.00	2
151893	140.00	3
152321	140.00	4
152750	140.00	1
153178	140.00	2
153607	140.00	3
154036	140.00	4
154464	140.00	1
154893	140.00	2
155321	140.00	3
155750	140.00	4
156178	140.00	1
156607	140.00	2
157036	140.00	3
157464	140.00	4
157893	140.00	1
158321	140.00	2
158750	140.00	3
159178	140.00	4
159607	140.00	1
160036	140.00	2
160464	140.00	3
160893	140.00	4
161321	140.00	1
161750	140.00	2
162178	140.00	3
162607	140.00	4
163036	140.00	1
163464	140.00	2
163893	140.00	3
164321	140.00	4
164750	140.00	1
165178	140.00	2
165607	140.00	3
166036	140.00	4
166464	140.00	1
166893	140.00	2
167321	140.00	3
167750	140.00	4
168178	140.00	1
168607	140.00	2
169036	140.00	3
169464	140.00	4
169893	140.00	1
170321	140.00	2
170750	140.00	3
171178	140.00	4
171607	140.00	1
172036	140.00	2
172464	140.00	3
172893	140.00	4
173321	140.00	1
173750	140.00	2
174178	140.00	3
174607	140.00	4
175036	140.00	1
175464	140.00	2
175893	140.00	3
176321	140.00	4
176750	140.00	1
177178	140.00	2
177607	140.00	3
178036	140.00	4
178464	140.00	1
178893	140.00	2
179321	140.00	3
179750	140.00	4
180178	140.00	1
180607	140.00	2
181036	140.00	3
181464	140.00	4
181893	140.00	1
182321	140.00	2
182750	140.00	3
183178	140.00	4
183607	140.00	1
184036	140.00	2
184464	140.00	3
184893	140.00	4
185321	140.00	1
185750	140.00	2
186178	140.00	3
186607	140.00	4
187036	140.00	1
187464	140.00	2
187893	140.00	3
188321	140.00	4
188750	140.00	1
189178	140.00	2
189607	140.00	3
190036	140.00	4
190464	140.00	1
190893	140.00	2
191321	140.00	3
191750	140.00	4
192178	140.00	1
192607	140.00	2
193036	140.00	3
193464	140.00	4
193893	140.00	1
194321	140.00	2
194750	140.00	3
195178	140.00	4
195607	140.00	1
196036	140.00	2
196464	140.00	3
196893	140.00	4
197321	140.00	1
197750	140.00	2
198178	140.00	3
198607	140.00	4
199036	140.00	1
199464	140.00	2
199893	140.00	3
200321	140.00	4
200750	140.00	1
201178	140.00	2
201607	140.00	3
202036	140.00	4
202464	140.00	1
202893	140.00	2
203321	140.00	3
203750	140.00	4
204178	140.00	1
204607	140.00	2
205036	140.00	3
205464	140.00	4
205893	140.00	1
206321	140.00	2
206750	140.00	3
207178	140.00	4
207607	140.00	1
208036	140.00	2
208464	140.00	3
208893	140.00	4
209321	140.00	1
209750	140.00	2
210178	140.00	3
210607	140.00	4
211036	140.00	1
211464	140.00	2
211893	140.00	3
212321	140.00	4
212750	140.00	1
213178	140.00	2
213607	140.00	3
214036	140.00	4
214464	140.00	1
214893	140.00	2
215321	140.00	3
215750	140.00	4
216178	140.00	1
216607	140.00	2
217036	140.00	3
217464	140.00	4
217893	140.00	1
218321	140.00	2
218750	140.00	3
219178	140.00	4
219607	140.00	1
